"","X","OID_","OBJECTID_1","Value","Count","Area","LandcoverNA","NLCD_US","LandcoverUS"
"1",1,1,1,10,2,1800,"Grassland",71,"Grassland/herbaceous"
"2",2,2,1,14,25,22500,"Wetland",90,"Woody&Emerg wetland"
"3",3,3,1,17,9,8100,"Urban/built-up",20,"Developed"
"4",4,4,1,18,8,7200,"Water",11,"Open water"
"5",5,5,2,1,15,13500,"Conifer forest",42,"Evergreen forest"
"6",6,6,2,5,15,13500,"Deciduous forest",41,"Deciduous forest"
"7",7,7,2,6,4,3600,"Mixed forest",43,"Mixed forest"
"8",8,8,2,15,1,900,"Cropland",80,"Pasture/Crops"
"9",9,9,2,17,10,9000,"Urban/built-up",20,"Developed"
"10",10,10,3,1,10,9000,"Conifer forest",42,"Evergreen forest"
"11",11,11,3,5,3,2700,"Deciduous forest",41,"Deciduous forest"
"12",12,12,3,6,23,20700,"Mixed forest",43,"Mixed forest"
"13",13,13,3,15,5,4500,"Cropland",80,"Pasture/Crops"
"14",14,14,3,16,3,2700,"Barren land",31,"Barren land"
"15",15,15,4,15,11,9900,"Cropland",80,"Pasture/Crops"
"16",16,16,4,17,33,29700,"Urban/built-up",20,"Developed"
"17",17,17,5,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"18",18,18,5,6,32,28800,"Mixed forest",43,"Mixed forest"
"19",19,19,5,17,12,10800,"Urban/built-up",20,"Developed"
"20",20,20,6,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"21",21,21,6,6,32,28800,"Mixed forest",43,"Mixed forest"
"22",22,22,6,17,12,10800,"Urban/built-up",20,"Developed"
"23",23,23,8,5,20,18000,"Deciduous forest",41,"Deciduous forest"
"24",24,24,8,8,5,4500,"Shrubland",52,"Shrub/scrub"
"25",25,25,8,15,23,20700,"Cropland",80,"Pasture/Crops"
"26",26,26,9,5,1,900,"Deciduous forest",41,"Deciduous forest"
"27",27,27,9,6,1,900,"Mixed forest",43,"Mixed forest"
"28",28,28,9,15,33,29700,"Cropland",80,"Pasture/Crops"
"29",29,29,9,17,10,9000,"Urban/built-up",20,"Developed"
"30",30,30,10,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"31",31,31,10,6,32,28800,"Mixed forest",43,"Mixed forest"
"32",32,32,10,17,12,10800,"Urban/built-up",20,"Developed"
"33",33,33,11,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"34",34,34,11,6,32,28800,"Mixed forest",43,"Mixed forest"
"35",35,35,11,17,12,10800,"Urban/built-up",20,"Developed"
"36",36,36,12,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"37",37,37,12,6,32,28800,"Mixed forest",43,"Mixed forest"
"38",38,38,12,17,12,10800,"Urban/built-up",20,"Developed"
"39",39,39,13,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"40",40,40,13,6,32,28800,"Mixed forest",43,"Mixed forest"
"41",41,41,13,17,12,10800,"Urban/built-up",20,"Developed"
"42",42,42,14,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"43",43,43,14,6,32,28800,"Mixed forest",43,"Mixed forest"
"44",44,44,14,17,12,10800,"Urban/built-up",20,"Developed"
"45",45,45,15,5,4,3600,"Deciduous forest",41,"Deciduous forest"
"46",46,46,15,6,32,28800,"Mixed forest",43,"Mixed forest"
"47",47,47,15,17,12,10800,"Urban/built-up",20,"Developed"
"48",48,48,16,5,13,11700,"Deciduous forest",41,"Deciduous forest"
"49",49,49,16,6,12,10800,"Mixed forest",43,"Mixed forest"
"50",50,50,16,15,20,18000,"Cropland",80,"Pasture/Crops"
"51",51,51,17,5,13,11700,"Deciduous forest",41,"Deciduous forest"
"52",52,52,17,6,34,30600,"Mixed forest",43,"Mixed forest"
"53",53,53,18,5,5,4500,"Deciduous forest",41,"Deciduous forest"
"54",54,54,18,6,1,900,"Mixed forest",43,"Mixed forest"
"55",55,55,18,15,12,10800,"Cropland",80,"Pasture/Crops"
"56",56,56,18,17,27,24300,"Urban/built-up",20,"Developed"
"57",57,57,19,5,5,4500,"Deciduous forest",41,"Deciduous forest"
"58",58,58,19,6,1,900,"Mixed forest",43,"Mixed forest"
"59",59,59,19,15,12,10800,"Cropland",80,"Pasture/Crops"
"60",60,60,19,17,27,24300,"Urban/built-up",20,"Developed"
"61",61,61,21,1,4,3600,"Conifer forest",42,"Evergreen forest"
"62",62,62,21,5,34,30600,"Deciduous forest",41,"Deciduous forest"
"63",63,63,21,6,6,5400,"Mixed forest",43,"Mixed forest"
"64",64,64,22,5,8,7200,"Deciduous forest",41,"Deciduous forest"
"65",65,65,22,6,40,36000,"Mixed forest",43,"Mixed forest"
"66",66,66,23,5,9,8100,"Deciduous forest",41,"Deciduous forest"
"67",67,67,23,6,35,31500,"Mixed forest",43,"Mixed forest"
"68",68,68,24,1,11,9900,"Conifer forest",42,"Evergreen forest"
"69",69,69,24,6,21,18900,"Mixed forest",43,"Mixed forest"
"70",70,70,24,8,2,1800,"Shrubland",52,"Shrub/scrub"
"71",71,71,24,17,8,7200,"Urban/built-up",20,"Developed"
"72",72,72,24,18,3,2700,"Water",11,"Open water"
"73",73,73,25,1,32,28800,"Conifer forest",42,"Evergreen forest"
"74",74,74,25,5,2,1800,"Deciduous forest",41,"Deciduous forest"
"75",75,75,25,6,1,900,"Mixed forest",43,"Mixed forest"
"76",76,76,25,14,1,900,"Wetland",90,"Woody&Emerg wetland"
"77",77,77,25,17,10,9000,"Urban/built-up",20,"Developed"
"78",78,78,26,5,25,22500,"Deciduous forest",41,"Deciduous forest"
"79",79,79,26,8,9,8100,"Shrubland",52,"Shrub/scrub"
"80",80,80,26,16,2,1800,"Barren land",31,"Barren land"
"81",81,81,26,17,9,8100,"Urban/built-up",20,"Developed"
"82",82,82,27,5,29,26100,"Deciduous forest",41,"Deciduous forest"
"83",83,83,27,6,4,3600,"Mixed forest",43,"Mixed forest"
"84",84,84,27,8,2,1800,"Shrubland",52,"Shrub/scrub"
"85",85,85,27,17,10,9000,"Urban/built-up",20,"Developed"
"86",86,86,28,5,4,3600,"Deciduous forest",41,"Deciduous forest"
