"","X","OID_","OBJECTID_1","Value","Count","Area","LandcoverNA","NLCD_US","LandcoverUS"
"1",1,1,1,1,97,87300,"Conifer forest",42,"Evergreen forest"
"2",2,2,1,5,147,132300,"Deciduous forest",41,"Deciduous forest"
"3",3,3,1,6,130,117000,"Mixed forest",43,"Mixed forest"
"4",4,4,1,8,75,67500,"Shrubland",52,"Shrub/scrub"
"5",5,5,1,17,44,39600,"Urban/built-up",20,"Developed"
"6",6,6,1,18,50,45000,"Water",11,"Open water"
"7",7,7,2,5,154,138600,"Deciduous forest",41,"Deciduous forest"
"8",8,8,2,6,331,297900,"Mixed forest",43,"Mixed forest"
"9",9,9,2,8,23,20700,"Shrubland",52,"Shrub/scrub"
"10",10,10,2,16,2,1800,"Barren land",31,"Barren land"
"11",11,11,2,17,34,30600,"Urban/built-up",20,"Developed"
"12",12,12,3,1,28,25200,"Conifer forest",42,"Evergreen forest"
"13",13,13,3,5,63,56700,"Deciduous forest",41,"Deciduous forest"
"14",14,14,3,6,205,184500,"Mixed forest",43,"Mixed forest"
"15",15,15,3,10,4,3600,"Grassland",71,"Grassland/herbaceous"
"16",16,16,3,15,4,3600,"Cropland",80,"Pasture/Crops"
"17",17,17,3,17,233,209700,"Urban/built-up",20,"Developed"
"18",18,18,3,18,6,5400,"Water",11,"Open water"
"19",19,19,4,5,38,34200,"Deciduous forest",41,"Deciduous forest"
"20",20,20,4,8,9,8100,"Shrubland",52,"Shrub/scrub"
"21",21,21,4,15,456,410400,"Cropland",80,"Pasture/Crops"
"22",22,22,4,17,26,23400,"Urban/built-up",20,"Developed"
"23",23,23,4,18,14,12600,"Water",11,"Open water"
"24",24,24,5,1,410,369000,"Conifer forest",42,"Evergreen forest"
"25",25,25,5,5,135,121500,"Deciduous forest",41,"Deciduous forest"
"26",26,26,6,1,77,69300,"Conifer forest",42,"Evergreen forest"
"27",27,27,6,5,170,153000,"Deciduous forest",41,"Deciduous forest"
"28",28,28,6,6,187,168300,"Mixed forest",43,"Mixed forest"
"29",29,29,6,10,59,53100,"Grassland",71,"Grassland/herbaceous"
"30",30,30,6,15,31,27900,"Cropland",80,"Pasture/Crops"
"31",31,31,6,17,19,17100,"Urban/built-up",20,"Developed"
"32",32,32,7,1,8,7200,"Conifer forest",42,"Evergreen forest"
"33",33,33,7,5,44,39600,"Deciduous forest",41,"Deciduous forest"
"34",34,34,7,6,383,344700,"Mixed forest",43,"Mixed forest"
"35",35,35,7,15,67,60300,"Cropland",80,"Pasture/Crops"
"36",36,36,7,16,11,9900,"Barren land",31,"Barren land"
"37",37,37,7,17,29,26100,"Urban/built-up",20,"Developed"
"38",38,38,8,1,8,7200,"Conifer forest",42,"Evergreen forest"
"39",39,39,8,5,48,43200,"Deciduous forest",41,"Deciduous forest"
"40",40,40,8,6,402,361800,"Mixed forest",43,"Mixed forest"
"41",41,41,8,15,34,30600,"Cropland",80,"Pasture/Crops"
"42",42,42,8,16,35,31500,"Barren land",31,"Barren land"
"43",43,43,8,17,17,15300,"Urban/built-up",20,"Developed"
"44",44,44,9,1,154,138600,"Conifer forest",42,"Evergreen forest"
"45",45,45,9,5,236,212400,"Deciduous forest",41,"Deciduous forest"
"46",46,46,9,6,35,31500,"Mixed forest",43,"Mixed forest"
"47",47,47,9,14,10,9000,"Wetland",90,"Woody&Emerg wetland"
"48",48,48,9,15,67,60300,"Cropland",80,"Pasture/Crops"
"49",49,49,9,17,40,36000,"Urban/built-up",20,"Developed"
"50",50,50,10,1,12,10800,"Conifer forest",42,"Evergreen forest"
"51",51,51,10,5,118,106200,"Deciduous forest",41,"Deciduous forest"
"52",52,52,10,6,227,204300,"Mixed forest",43,"Mixed forest"
"53",53,53,10,17,12,10800,"Urban/built-up",20,"Developed"
"54",54,54,10,18,177,159300,"Water",11,"Open water"
"55",55,55,11,5,313,281700,"Deciduous forest",41,"Deciduous forest"
"56",56,56,11,6,13,11700,"Mixed forest",43,"Mixed forest"
"57",57,57,11,8,6,5400,"Shrubland",52,"Shrub/scrub"
"58",58,58,11,14,67,60300,"Wetland",90,"Woody&Emerg wetland"
"59",59,59,11,15,98,88200,"Cropland",80,"Pasture/Crops"
"60",60,60,11,17,33,29700,"Urban/built-up",20,"Developed"
"61",61,61,11,18,13,11700,"Water",11,"Open water"
"62",62,62,12,1,3,2700,"Conifer forest",42,"Evergreen forest"
"63",63,63,12,5,234,210600,"Deciduous forest",41,"Deciduous forest"
"64",64,64,12,6,11,9900,"Mixed forest",43,"Mixed forest"
"65",65,65,12,8,113,101700,"Shrubland",52,"Shrub/scrub"
"66",66,66,12,10,18,16200,"Grassland",71,"Grassland/herbaceous"
"67",67,67,12,14,25,22500,"Wetland",90,"Woody&Emerg wetland"
"68",68,68,12,15,59,53100,"Cropland",80,"Pasture/Crops"
"69",69,69,12,16,53,47700,"Barren land",31,"Barren land"
"70",70,70,12,17,27,24300,"Urban/built-up",20,"Developed"
"71",71,71,13,5,270,243000,"Deciduous forest",41,"Deciduous forest"
"72",72,72,13,6,164,147600,"Mixed forest",43,"Mixed forest"
"73",73,73,13,17,108,97200,"Urban/built-up",20,"Developed"
"74",74,74,14,5,142,127800,"Deciduous forest",41,"Deciduous forest"
"75",75,75,14,6,113,101700,"Mixed forest",43,"Mixed forest"
"76",76,76,14,8,4,3600,"Shrubland",52,"Shrub/scrub"
"77",77,77,14,10,28,25200,"Grassland",71,"Grassland/herbaceous"
"78",78,78,14,15,201,180900,"Cropland",80,"Pasture/Crops"
"79",79,79,14,17,56,50400,"Urban/built-up",20,"Developed"
"80",80,80,15,1,93,83700,"Conifer forest",42,"Evergreen forest"
"81",81,81,15,5,212,190800,"Deciduous forest",41,"Deciduous forest"
"82",82,82,15,6,113,101700,"Mixed forest",43,"Mixed forest"
"83",83,83,15,8,36,32400,"Shrubland",52,"Shrub/scrub"
"84",84,84,15,15,36,32400,"Cropland",80,"Pasture/Crops"
"85",85,85,15,16,17,15300,"Barren land",31,"Barren land"
"86",86,86,15,18,37,33300,"Water",11,"Open water"
"87",87,87,16,1,134,120600,"Conifer forest",42,"Evergreen forest"
"88",88,88,16,5,259,233100,"Deciduous forest",41,"Deciduous forest"
"89",89,89,16,6,45,40500,"Mixed forest",43,"Mixed forest"
"90",90,90,16,8,66,59400,"Shrubland",52,"Shrub/scrub"
"91",91,91,16,16,39,35100,"Barren land",31,"Barren land"
"92",92,92,16,17,1,900,"Urban/built-up",20,"Developed"
"93",93,93,17,1,144,129600,"Conifer forest",42,"Evergreen forest"
"94",94,94,17,5,248,223200,"Deciduous forest",41,"Deciduous forest"
"95",95,95,17,6,42,37800,"Mixed forest",43,"Mixed forest"
"96",96,96,17,8,46,41400,"Shrubland",52,"Shrub/scrub"
"97",97,97,17,15,4,3600,"Cropland",80,"Pasture/Crops"
"98",98,98,17,16,35,31500,"Barren land",31,"Barren land"
"99",99,99,17,17,25,22500,"Urban/built-up",20,"Developed"
"100",100,100,18,1,151,135900,"Conifer forest",42,"Evergreen forest"
"101",101,101,18,5,239,215100,"Deciduous forest",41,"Deciduous forest"
"102",102,102,18,6,34,30600,"Mixed forest",43,"Mixed forest"
"103",103,103,18,8,43,38700,"Shrubland",52,"Shrub/scrub"
"104",104,104,18,15,5,4500,"Cropland",80,"Pasture/Crops"
"105",105,105,18,16,42,37800,"Barren land",31,"Barren land"
"106",106,106,18,17,31,27900,"Urban/built-up",20,"Developed"
"107",107,107,19,5,435,391500,"Deciduous forest",41,"Deciduous forest"
"108",108,108,19,6,82,73800,"Mixed forest",43,"Mixed forest"
"109",109,109,19,18,26,23400,"Water",11,"Open water"
"110",110,110,20,1,67,60300,"Conifer forest",42,"Evergreen forest"
"111",111,111,20,5,359,323100,"Deciduous forest",41,"Deciduous forest"
"112",112,112,20,6,92,82800,"Mixed forest",43,"Mixed forest"
"113",113,113,20,8,4,3600,"Shrubland",52,"Shrub/scrub"
