"","OID_","OBJECTID_1","Value","Count","Area","LandcoverNA","NLCD_US","LandcoverUS"
"1",1,1,1,96,86400,"Conifer forest",42,"Evergreen forest"
"2",2,1,5,56,50400,"Deciduous forest",41,"Deciduous forest"
"3",3,1,6,397,357300,"Mixed forest",43,"Mixed forest"
"4",4,1,8,6,5400,"Shrubland",52,"Shrub/scrub"
"5",5,2,1,139,125100,"Conifer forest",42,"Evergreen forest"
"6",6,2,5,144,129600,"Deciduous forest",41,"Deciduous forest"
"7",7,2,6,8,7200,"Mixed forest",43,"Mixed forest"
"8",8,2,8,188,169200,"Shrubland",52,"Shrub/scrub"
"9",9,2,16,80,72000,"Barren land",31,"Barren land"
"10",10,3,1,82,73800,"Conifer forest",42,"Evergreen forest"
"11",11,3,5,134,120600,"Deciduous forest",41,"Deciduous forest"
"12",12,3,6,11,9900,"Mixed forest",43,"Mixed forest"
"13",13,3,8,106,95400,"Shrubland",52,"Shrub/scrub"
"14",14,3,10,18,16200,"Grassland",71,"Grassland/herbaceous"
"15",15,3,14,95,85500,"Wetland",90,"Woody&Emerg wetland"
"16",16,3,15,16,14400,"Cropland",80,"Pasture/Crops"
"17",17,3,16,45,40500,"Barren land",31,"Barren land"
"18",18,3,17,42,37800,"Urban/built-up",20,"Developed"
"19",19,4,1,163,146700,"Conifer forest",42,"Evergreen forest"
"20",20,4,5,250,225000,"Deciduous forest",41,"Deciduous forest"
"21",21,4,6,37,33300,"Mixed forest",43,"Mixed forest"
"22",22,4,8,52,46800,"Shrubland",52,"Shrub/scrub"
"23",23,4,16,31,27900,"Barren land",31,"Barren land"
"24",24,4,17,20,18000,"Urban/built-up",20,"Developed"
"25",25,4,18,2,1800,"Water",11,"Open water"
"26",26,5,1,152,136800,"Conifer forest",42,"Evergreen forest"
"27",27,5,5,259,233100,"Deciduous forest",41,"Deciduous forest"
"28",28,5,6,49,44100,"Mixed forest",43,"Mixed forest"
"29",29,5,8,52,46800,"Shrubland",52,"Shrub/scrub"
"30",30,5,16,10,9000,"Barren land",31,"Barren land"
"31",31,5,17,30,27000,"Urban/built-up",20,"Developed"
"32",32,6,1,60,54000,"Conifer forest",42,"Evergreen forest"
"33",33,6,5,211,189900,"Deciduous forest",41,"Deciduous forest"
"34",34,6,6,72,64800,"Mixed forest",43,"Mixed forest"
"35",35,6,8,24,21600,"Shrubland",52,"Shrub/scrub"
"36",36,6,14,16,14400,"Wetland",90,"Woody&Emerg wetland"
"37",37,6,15,90,81000,"Cropland",80,"Pasture/Crops"
"38",38,6,16,41,36900,"Barren land",31,"Barren land"
"39",39,6,17,41,36900,"Urban/built-up",20,"Developed"
"40",40,7,5,372,334800,"Deciduous forest",41,"Deciduous forest"
"41",41,7,6,85,76500,"Mixed forest",43,"Mixed forest"
"42",42,7,8,18,16200,"Shrubland",52,"Shrub/scrub"
"43",43,7,16,17,15300,"Barren land",31,"Barren land"
"44",44,7,17,58,52200,"Urban/built-up",20,"Developed"
"45",45,8,5,179,161100,"Deciduous forest",41,"Deciduous forest"
"46",46,8,6,254,228600,"Mixed forest",43,"Mixed forest"
"47",47,8,10,6,5400,"Grassland",71,"Grassland/herbaceous"
"48",48,8,16,6,5400,"Barren land",31,"Barren land"
"49",49,8,17,110,99000,"Urban/built-up",20,"Developed"
"50",50,9,1,15,13500,"Conifer forest",42,"Evergreen forest"
"51",51,9,5,395,355500,"Deciduous forest",41,"Deciduous forest"
"52",52,9,6,92,82800,"Mixed forest",43,"Mixed forest"
"53",53,9,10,28,25200,"Grassland",71,"Grassland/herbaceous"
"54",54,9,15,4,3600,"Cropland",80,"Pasture/Crops"
"55",55,9,16,19,17100,"Barren land",31,"Barren land"
"56",56,9,18,4,3600,"Water",11,"Open water"
"57",57,10,1,105,94500,"Conifer forest",42,"Evergreen forest"
"58",58,10,5,149,134100,"Deciduous forest",41,"Deciduous forest"
"59",59,10,6,130,117000,"Mixed forest",43,"Mixed forest"
"60",60,10,8,75,67500,"Shrubland",52,"Shrub/scrub"
"61",61,10,17,47,42300,"Urban/built-up",20,"Developed"
"62",62,10,18,49,44100,"Water",11,"Open water"
