"","X","OID_","OBJECTID_1","Value","Count","Area","LandcoverNA","NLCD_US","LandcoverUS"
"1",1,1,1,1,3385,3046500,"Conifer forest",42,"Evergreen forest"
"2",2,2,1,5,11950,10755000,"Deciduous forest",41,"Deciduous forest"
"3",3,3,1,6,6173,5555700,"Mixed forest",43,"Mixed forest"
"4",4,4,1,8,120,108000,"Shrubland",52,"Shrub/scrub"
"5",5,5,1,10,54,48600,"Grassland",71,"Grassland/herbaceous"
"6",6,6,1,14,2269,2042100,"Wetland",90,"Woody&Emerg wetland"
"7",7,7,1,15,3864,3477600,"Cropland",80,"Pasture/Crops"
"8",8,8,1,17,1510,1359000,"Urban/built-up",20,"Developed"
"9",9,9,1,18,116,104400,"Water",11,"Open water"
"10",10,10,2,1,2965,2668500,"Conifer forest",42,"Evergreen forest"
"11",11,11,2,5,7769,6992100,"Deciduous forest",41,"Deciduous forest"
"12",12,12,2,6,4906,4415400,"Mixed forest",43,"Mixed forest"
"13",13,13,2,8,56,50400,"Shrubland",52,"Shrub/scrub"
"14",14,14,2,10,59,53100,"Grassland",71,"Grassland/herbaceous"
"15",15,15,2,14,3134,2820600,"Wetland",90,"Woody&Emerg wetland"
"16",16,16,2,15,8546,7691400,"Cropland",80,"Pasture/Crops"
"17",17,17,2,17,1885,1696500,"Urban/built-up",20,"Developed"
"18",18,18,2,18,98,88200,"Water",11,"Open water"
"19",19,19,3,1,3126,2813400,"Conifer forest",42,"Evergreen forest"
"20",20,20,3,5,10943,9848700,"Deciduous forest",41,"Deciduous forest"
"21",21,21,3,6,5772,5194800,"Mixed forest",43,"Mixed forest"
"22",22,22,3,8,93,83700,"Shrubland",52,"Shrub/scrub"
"23",23,23,3,10,49,44100,"Grassland",71,"Grassland/herbaceous"
"24",24,24,3,14,2306,2075400,"Wetland",90,"Woody&Emerg wetland"
"25",25,25,3,15,5800,5220000,"Cropland",80,"Pasture/Crops"
"26",26,26,3,17,1287,1158300,"Urban/built-up",20,"Developed"
"27",27,27,3,18,45,40500,"Water",11,"Open water"
"28",28,28,4,1,1592,1432800,"Conifer forest",42,"Evergreen forest"
"29",29,29,4,5,3730,3357000,"Deciduous forest",41,"Deciduous forest"
"30",30,30,4,6,2226,2003400,"Mixed forest",43,"Mixed forest"
"31",31,31,4,8,17,15300,"Shrubland",52,"Shrub/scrub"
"32",32,32,4,10,6,5400,"Grassland",71,"Grassland/herbaceous"
"33",33,33,4,14,856,770400,"Wetland",90,"Woody&Emerg wetland"
"34",34,34,4,15,19857,17871300,"Cropland",80,"Pasture/Crops"
"35",35,35,4,16,5,4500,"Barren land",31,"Barren land"
"36",36,36,4,17,1129,1016100,"Urban/built-up",20,"Developed"
"37",37,37,4,18,7,6300,"Water",11,"Open water"
"38",38,38,5,1,4129,3716100,"Conifer forest",42,"Evergreen forest"
"39",39,39,5,5,14556,13100400,"Deciduous forest",41,"Deciduous forest"
"40",40,40,5,6,2485,2236500,"Mixed forest",43,"Mixed forest"
"41",41,41,5,8,242,217800,"Shrubland",52,"Shrub/scrub"
"42",42,42,5,10,94,84600,"Grassland",71,"Grassland/herbaceous"
"43",43,43,5,14,363,326700,"Wetland",90,"Woody&Emerg wetland"
"44",44,44,5,15,6320,5688000,"Cropland",80,"Pasture/Crops"
"45",45,45,5,17,1176,1058400,"Urban/built-up",20,"Developed"
"46",46,46,5,18,75,67500,"Water",11,"Open water"
"47",47,47,6,1,4129,3716100,"Conifer forest",42,"Evergreen forest"
"48",48,48,6,5,14556,13100400,"Deciduous forest",41,"Deciduous forest"
"49",49,49,6,6,2485,2236500,"Mixed forest",43,"Mixed forest"
"50",50,50,6,8,242,217800,"Shrubland",52,"Shrub/scrub"
"51",51,51,6,10,94,84600,"Grassland",71,"Grassland/herbaceous"
"52",52,52,6,14,363,326700,"Wetland",90,"Woody&Emerg wetland"
"53",53,53,6,15,6320,5688000,"Cropland",80,"Pasture/Crops"
"54",54,54,6,17,1176,1058400,"Urban/built-up",20,"Developed"
"55",55,55,6,18,75,67500,"Water",11,"Open water"
"56",56,56,7,1,4129,3716100,"Conifer forest",42,"Evergreen forest"
"57",57,57,7,5,14556,13100400,"Deciduous forest",41,"Deciduous forest"
"58",58,58,7,6,2485,2236500,"Mixed forest",43,"Mixed forest"
"59",59,59,7,8,242,217800,"Shrubland",52,"Shrub/scrub"
"60",60,60,7,10,94,84600,"Grassland",71,"Grassland/herbaceous"
"61",61,61,7,14,363,326700,"Wetland",90,"Woody&Emerg wetland"
"62",62,62,7,15,6320,5688000,"Cropland",80,"Pasture/Crops"
"63",63,63,7,17,1176,1058400,"Urban/built-up",20,"Developed"
"64",64,64,7,18,75,67500,"Water",11,"Open water"
"65",65,65,8,1,325,292500,"Conifer forest",42,"Evergreen forest"
"66",66,66,8,5,5225,4702500,"Deciduous forest",41,"Deciduous forest"
"67",67,67,8,6,663,596700,"Mixed forest",43,"Mixed forest"
"68",68,68,8,8,501,450900,"Shrubland",52,"Shrub/scrub"
"69",69,69,8,10,83,74700,"Grassland",71,"Grassland/herbaceous"
"70",70,70,8,14,465,418500,"Wetland",90,"Woody&Emerg wetland"
"71",71,71,8,15,2594,2334600,"Cropland",80,"Pasture/Crops"
"72",72,72,8,16,2487,2238300,"Barren land",31,"Barren land"
"73",73,73,8,17,17028,15325200,"Urban/built-up",20,"Developed"
"74",74,74,8,18,75,67500,"Water",11,"Open water"
"75",75,75,9,1,149,134100,"Conifer forest",42,"Evergreen forest"
"76",76,76,9,5,2375,2137500,"Deciduous forest",41,"Deciduous forest"
"77",77,77,9,6,84,75600,"Mixed forest",43,"Mixed forest"
"78",78,78,9,8,283,254700,"Shrubland",52,"Shrub/scrub"
"79",79,79,9,10,62,55800,"Grassland",71,"Grassland/herbaceous"
"80",80,80,9,14,5137,4623300,"Wetland",90,"Woody&Emerg wetland"
"81",81,81,9,15,1433,1289700,"Cropland",80,"Pasture/Crops"
"82",82,82,9,16,106,95400,"Barren land",31,"Barren land"
"83",83,83,9,17,19325,17392500,"Urban/built-up",20,"Developed"
"84",84,84,9,18,474,426600,"Water",11,"Open water"
"85",85,85,10,1,149,134100,"Conifer forest",42,"Evergreen forest"
"86",86,86,10,5,2375,2137500,"Deciduous forest",41,"Deciduous forest"
"87",87,87,10,6,84,75600,"Mixed forest",43,"Mixed forest"
"88",88,88,10,8,283,254700,"Shrubland",52,"Shrub/scrub"
"89",89,89,10,10,62,55800,"Grassland",71,"Grassland/herbaceous"
"90",90,90,10,14,5137,4623300,"Wetland",90,"Woody&Emerg wetland"
"91",91,91,10,15,1433,1289700,"Cropland",80,"Pasture/Crops"
