"","X","OID_","OBJECTID_1","Value","Count","Area","LandcoverNA","NLCD_US","LandcoverUS"
"1",1,1,1,5,2,60,"Deciduous forest",41,"Deciduous forest"
"2",2,2,1,6,3,90,"Mixed forest",43,"Mixed forest"
"3",3,3,2,5,3,90,"Deciduous forest",41,"Deciduous forest"
"4",4,4,2,6,2,60,"Mixed forest",43,"Mixed forest"
"5",5,5,3,5,1,30,"Deciduous forest",41,"Deciduous forest"
"6",6,6,3,8,4,120,"Shrubland",52,"Shrub/scrub"
"7",7,7,4,5,3,90,"Deciduous forest",41,"Deciduous forest"
"8",8,8,4,8,1,30,"Shrubland",52,"Shrub/scrub"
"9",9,9,5,5,4,120,"Deciduous forest",41,"Deciduous forest"
"10",10,10,6,5,4,120,"Deciduous forest",41,"Deciduous forest"
"11",11,11,7,5,4,120,"Deciduous forest",41,"Deciduous forest"
"12",12,12,7,18,1,30,"Water",11,"Open water"
"13",13,13,8,5,4,120,"Deciduous forest",41,"Deciduous forest"
"14",14,14,8,18,1,30,"Water",11,"Open water"
"15",15,15,9,5,3,90,"Deciduous forest",41,"Deciduous forest"
"16",16,16,9,8,1,30,"Shrubland",52,"Shrub/scrub"
"17",17,17,10,5,6,180,"Deciduous forest",41,"Deciduous forest"
"18",18,18,11,5,1,30,"Deciduous forest",41,"Deciduous forest"
"19",19,19,11,6,3,90,"Mixed forest",43,"Mixed forest"
"20",20,20,16,5,4,120,"Deciduous forest",41,"Deciduous forest"
"21",21,21,19,6,2,60,"Mixed forest",43,"Mixed forest"
"22",22,22,19,17,3,90,"Urban/built-up",20,"Developed"
"23",23,23,20,5,5,150,"Deciduous forest",41,"Deciduous forest"
"24",24,24,21,6,6,180,"Mixed forest",43,"Mixed forest"
"25",25,25,22,15,4,120,"Cropland",80,"Pasture/Crops"
"26",26,26,23,1,4,120,"Conifer forest",42,"Evergreen forest"
"27",27,27,24,1,4,120,"Conifer forest",42,"Evergreen forest"
"28",28,28,25,5,1,30,"Deciduous forest",41,"Deciduous forest"
"29",29,29,25,6,4,120,"Mixed forest",43,"Mixed forest"
"30",30,30,26,5,3,90,"Deciduous forest",41,"Deciduous forest"
"31",31,31,26,6,1,30,"Mixed forest",43,"Mixed forest"
"32",32,32,27,1,4,120,"Conifer forest",42,"Evergreen forest"
"33",33,33,28,1,4,120,"Conifer forest",42,"Evergreen forest"
"34",34,34,29,6,2,60,"Mixed forest",43,"Mixed forest"
"35",35,35,29,18,3,90,"Water",11,"Open water"
"36",36,36,30,1,1,30,"Conifer forest",42,"Evergreen forest"
"37",37,37,30,6,5,150,"Mixed forest",43,"Mixed forest"
"38",38,38,31,5,3,90,"Deciduous forest",41,"Deciduous forest"
"39",39,39,31,6,1,30,"Mixed forest",43,"Mixed forest"
"40",40,40,32,6,4,120,"Mixed forest",43,"Mixed forest"
"41",41,41,33,5,4,120,"Deciduous forest",41,"Deciduous forest"
"42",42,42,34,15,5,150,"Cropland",80,"Pasture/Crops"
