OID_,OBJECTID_1,Value,Count,Area
1,1,1,556.000000000000000,500400.000000000000000
2,1,5,11161.000000000000000,10044900.000000000000000
3,1,6,2719.000000000000000,2447100.000000000000000
4,1,8,835.000000000000000,751500.000000000000000
5,1,10,112.000000000000000,100800.000000000000000
6,1,14,368.000000000000000,331200.000000000000000
7,1,15,12516.000000000000000,11264400.000000000000000
8,1,16,1345.000000000000000,1210500.000000000000000
9,1,17,2704.000000000000000,2433600.000000000000000
10,1,18,9886.000000000000000,8897400.000000000000000
11,2,1,1718.000000000000000,1546200.000000000000000
12,2,5,16003.000000000000000,14402700.000000000000000
13,2,6,18877.000000000000000,16989300.000000000000000
14,2,8,521.000000000000000,468900.000000000000000
15,2,10,501.000000000000000,450900.000000000000000
16,2,14,1363.000000000000000,1226700.000000000000000
17,2,15,34.000000000000000,30600.000000000000000
18,2,16,326.000000000000000,293400.000000000000000
19,2,17,480.000000000000000,432000.000000000000000
20,2,18,2399.000000000000000,2159100.000000000000000
21,3,1,2539.000000000000000,2285100.000000000000000
22,3,5,9950.000000000000000,8955000.000000000000000
23,3,6,13138.000000000000000,11824200.000000000000000
24,3,8,744.000000000000000,669600.000000000000000
25,3,14,99.000000000000000,89100.000000000000000
26,3,16,824.000000000000000,741600.000000000000000
27,3,17,8190.000000000000000,7371000.000000000000000
28,3,18,6751.000000000000000,6075900.000000000000000
29,4,1,5037.000000000000000,4533300.000000000000000
30,4,5,8973.000000000000000,8075700.000000000000000
31,4,6,25692.000000000000000,23122800.000000000000000
32,4,8,83.000000000000000,74700.000000000000000
33,4,14,405.000000000000000,364500.000000000000000
34,4,17,114.000000000000000,102600.000000000000000
35,4,18,1912.000000000000000,1720800.000000000000000
36,5,1,1274.000000000000000,1146600.000000000000000
37,5,5,8888.000000000000000,7999200.000000000000000
38,5,6,23938.000000000000000,21544200.000000000000000
39,5,8,762.000000000000000,685800.000000000000000
40,5,10,541.000000000000000,486900.000000000000000
41,5,14,491.000000000000000,441900.000000000000000
42,5,15,4178.000000000000000,3760200.000000000000000
43,5,16,96.000000000000000,86400.000000000000000
44,5,17,961.000000000000000,864900.000000000000000
45,5,18,1095.000000000000000,985500.000000000000000
46,6,1,964.000000000000000,867600.000000000000000
47,6,5,12106.000000000000000,10895400.000000000000000
48,6,6,17898.000000000000000,16108200.000000000000000
49,6,8,135.000000000000000,121500.000000000000000
50,6,10,6.000000000000000,5400.000000000000000
51,6,14,132.000000000000000,118800.000000000000000
52,6,16,35.000000000000000,31500.000000000000000
53,6,17,532.000000000000000,478800.000000000000000
54,6,18,10422.000000000000000,9379800.000000000000000
55,7,1,1380.000000000000000,1242000.000000000000000
56,7,5,7961.000000000000000,7164900.000000000000000
57,7,6,24612.000000000000000,22150800.000000000000000
58,7,8,582.000000000000000,523800.000000000000000
59,7,10,536.000000000000000,482400.000000000000000
60,7,14,430.000000000000000,387000.000000000000000
61,7,15,4069.000000000000000,3662100.000000000000000
62,7,16,93.000000000000000,83700.000000000000000
63,7,17,999.000000000000000,899100.000000000000000
64,7,18,1553.000000000000000,1397700.000000000000000
65,8,1,2905.000000000000000,2614500.000000000000000
66,8,5,7986.000000000000000,7187400.000000000000000
67,8,6,23531.000000000000000,21177900.000000000000000
68,8,8,196.000000000000000,176400.000000000000000
69,8,10,23.000000000000000,20700.000000000000000
70,8,14,363.000000000000000,326700.000000000000000
71,8,16,23.000000000000000,20700.000000000000000
72,8,17,399.000000000000000,359100.000000000000000
73,8,18,6797.000000000000000,6117300.000000000000000
74,9,1,570.000000000000000,513000.000000000000000
75,9,5,12836.000000000000000,11552400.000000000000000
76,9,6,3003.000000000000000,2702700.000000000000000
77,9,8,691.000000000000000,621900.000000000000000
78,9,10,100.000000000000000,90000.000000000000000
79,9,14,259.000000000000000,233100.000000000000000
80,9,15,14349.000000000000000,12914100.000000000000000
81,9,16,1477.000000000000000,1329300.000000000000000
82,9,17,2462.000000000000000,2215800.000000000000000
83,9,18,6478.000000000000000,5830200.000000000000000
84,10,1,569.000000000000000,512100.000000000000000
85,10,5,12847.000000000000000,11562300.000000000000000
86,10,6,3000.000000000000000,2700000.000000000000000
87,10,8,690.000000000000000,621000.000000000000000
88,10,10,100.000000000000000,90000.000000000000000
