OID_,OBJECTID_1,Value,Count,Area
1,1,1,2967.000000000000000,2670300.000000000000000
2,1,5,7770.000000000000000,6993000.000000000000000
3,1,6,4907.000000000000000,4416300.000000000000000
4,1,8,56.000000000000000,50400.000000000000000
5,1,10,59.000000000000000,53100.000000000000000
6,1,14,3136.000000000000000,2822400.000000000000000
7,1,15,8548.000000000000000,7693200.000000000000000
8,1,17,1885.000000000000000,1696500.000000000000000
9,1,18,98.000000000000000,88200.000000000000000
10,2,1,4131.000000000000000,3717900.000000000000000
11,2,5,14561.000000000000000,13104900.000000000000000
12,2,6,2485.000000000000000,2236500.000000000000000
13,2,8,242.000000000000000,217800.000000000000000
14,2,10,94.000000000000000,84600.000000000000000
15,2,14,363.000000000000000,326700.000000000000000
16,2,15,6321.000000000000000,5688900.000000000000000
17,2,17,1176.000000000000000,1058400.000000000000000
18,2,18,75.000000000000000,67500.000000000000000
19,3,1,4131.000000000000000,3717900.000000000000000
20,3,5,14561.000000000000000,13104900.000000000000000
21,3,6,2485.000000000000000,2236500.000000000000000
22,3,8,242.000000000000000,217800.000000000000000
23,3,10,94.000000000000000,84600.000000000000000
24,3,14,363.000000000000000,326700.000000000000000
25,3,15,6321.000000000000000,5688900.000000000000000
26,3,17,1176.000000000000000,1058400.000000000000000
27,3,18,75.000000000000000,67500.000000000000000
28,4,1,4131.000000000000000,3717900.000000000000000
29,4,5,14561.000000000000000,13104900.000000000000000
30,4,6,2485.000000000000000,2236500.000000000000000
31,4,8,242.000000000000000,217800.000000000000000
32,4,10,94.000000000000000,84600.000000000000000
33,4,14,363.000000000000000,326700.000000000000000
34,4,15,6321.000000000000000,5688900.000000000000000
35,4,17,1176.000000000000000,1058400.000000000000000
36,4,18,75.000000000000000,67500.000000000000000
37,5,1,149.000000000000000,134100.000000000000000
38,5,5,2375.000000000000000,2137500.000000000000000
39,5,6,84.000000000000000,75600.000000000000000
40,5,8,283.000000000000000,254700.000000000000000
41,5,10,62.000000000000000,55800.000000000000000
42,5,14,5138.000000000000000,4624200.000000000000000
43,5,15,1434.000000000000000,1290600.000000000000000
44,5,16,106.000000000000000,95400.000000000000000
45,5,17,19327.000000000000000,17394300.000000000000000
46,5,18,474.000000000000000,426600.000000000000000
