OID_,OBJECTID_1,Value,Count,Area
1,1,1,325.000000000000000,292500.000000000000000
2,1,5,405.000000000000000,364500.000000000000000
3,1,6,452.000000000000000,406800.000000000000000
4,1,14,329.000000000000000,296100.000000000000000
5,1,15,28.000000000000000,25200.000000000000000
6,1,16,5.000000000000000,4500.000000000000000
7,1,17,3478.000000000000000,3130200.000000000000000
8,1,18,152.000000000000000,136800.000000000000000
9,2,1,316.000000000000000,284400.000000000000000
10,2,5,485.000000000000000,436500.000000000000000
11,2,6,950.000000000000000,855000.000000000000000
12,2,8,321.000000000000000,288900.000000000000000
13,2,10,252.000000000000000,226800.000000000000000
14,2,14,131.000000000000000,117900.000000000000000
15,2,15,2239.000000000000000,2015100.000000000000000
16,2,16,136.000000000000000,122400.000000000000000
17,2,17,324.000000000000000,291600.000000000000000
18,2,18,8.000000000000000,7200.000000000000000
19,3,1,106.000000000000000,95400.000000000000000
20,3,5,889.000000000000000,800100.000000000000000
21,3,6,118.000000000000000,106200.000000000000000
22,3,8,8.000000000000000,7200.000000000000000
23,3,10,107.000000000000000,96300.000000000000000
24,3,14,70.000000000000000,63000.000000000000000
25,3,16,422.000000000000000,379800.000000000000000
26,3,17,3433.000000000000000,3089700.000000000000000
27,3,18,18.000000000000000,16200.000000000000000
28,4,1,83.000000000000000,74700.000000000000000
29,4,5,3143.000000000000000,2828700.000000000000000
30,4,6,1655.000000000000000,1489500.000000000000000
31,4,8,16.000000000000000,14400.000000000000000
32,4,10,6.000000000000000,5400.000000000000000
33,4,15,73.000000000000000,65700.000000000000000
34,4,16,23.000000000000000,20700.000000000000000
35,4,17,4.000000000000000,3600.000000000000000
36,4,18,165.000000000000000,148500.000000000000000
37,5,5,1117.000000000000000,1005300.000000000000000
38,5,6,2981.000000000000000,2682900.000000000000000
39,5,8,18.000000000000000,16200.000000000000000
40,5,15,1003.000000000000000,902700.000000000000000
41,5,16,16.000000000000000,14400.000000000000000
42,5,17,27.000000000000000,24300.000000000000000
43,6,1,344.000000000000000,309600.000000000000000
44,6,5,2351.000000000000000,2115900.000000000000000
45,6,6,1890.000000000000000,1701000.000000000000000
46,6,8,260.000000000000000,234000.000000000000000
47,6,10,15.000000000000000,13500.000000000000000
48,6,14,58.000000000000000,52200.000000000000000
49,6,17,139.000000000000000,125100.000000000000000
50,6,18,110.000000000000000,99000.000000000000000
51,7,1,298.000000000000000,268200.000000000000000
52,7,5,2561.000000000000000,2304900.000000000000000
53,7,6,955.000000000000000,859500.000000000000000
54,7,8,336.000000000000000,302400.000000000000000
55,7,10,20.000000000000000,18000.000000000000000
56,7,14,41.000000000000000,36900.000000000000000
57,7,15,67.000000000000000,60300.000000000000000
58,7,16,440.000000000000000,396000.000000000000000
59,7,17,350.000000000000000,315000.000000000000000
60,7,18,96.000000000000000,86400.000000000000000
61,8,1,32.000000000000000,28800.000000000000000
62,8,5,2102.000000000000000,1891800.000000000000000
63,8,6,1219.000000000000000,1097100.000000000000000
64,8,8,27.000000000000000,24300.000000000000000
65,8,10,85.000000000000000,76500.000000000000000
66,8,14,112.000000000000000,100800.000000000000000
67,8,16,97.000000000000000,87300.000000000000000
68,8,17,1481.000000000000000,1332900.000000000000000
69,8,18,16.000000000000000,14400.000000000000000
70,9,1,218.000000000000000,196200.000000000000000
71,9,5,1665.000000000000000,1498500.000000000000000
72,9,6,881.000000000000000,792900.000000000000000
73,9,8,66.000000000000000,59400.000000000000000
74,9,10,85.000000000000000,76500.000000000000000
75,9,14,157.000000000000000,141300.000000000000000
76,9,15,814.000000000000000,732600.000000000000000
77,9,16,212.000000000000000,190800.000000000000000
78,9,17,524.000000000000000,471600.000000000000000
79,9,18,543.000000000000000,488700.000000000000000
80,10,1,25.000000000000000,22500.000000000000000
81,10,5,4343.000000000000000,3908700.000000000000000
82,10,6,169.000000000000000,152100.000000000000000
83,10,8,51.000000000000000,45900.000000000000000
84,10,10,41.000000000000000,36900.000000000000000
85,10,16,5.000000000000000,4500.000000000000000
86,10,17,85.000000000000000,76500.000000000000000
87,10,18,451.000000000000000,405900.000000000000000
88,11,1,14.000000000000000,12600.000000000000000
89,11,5,2030.000000000000000,1827000.000000000000000
90,11,6,767.000000000000000,690300.000000000000000
91,11,8,11.000000000000000,9900.000000000000000
92,11,10,16.000000000000000,14400.000000000000000
93,11,14,35.000000000000000,31500.000000000000000
94,11,16,341.000000000000000,306900.000000000000000
95,11,17,1929.000000000000000,1736100.000000000000000
96,11,18,23.000000000000000,20700.000000000000000
97,12,1,536.000000000000000,482400.000000000000000
98,12,5,1651.000000000000000,1485900.000000000000000
99,12,6,408.000000000000000,367200.000000000000000
100,12,8,446.000000000000000,401400.000000000000000
101,12,10,146.000000000000000,131400.000000000000000
102,12,15,1606.000000000000000,1445400.000000000000000
103,12,16,158.000000000000000,142200.000000000000000
104,12,17,208.000000000000000,187200.000000000000000
105,13,1,117.000000000000000,105300.000000000000000
106,13,5,2478.000000000000000,2230200.000000000000000
107,13,6,703.000000000000000,632700.000000000000000
108,13,8,362.000000000000000,325800.000000000000000
109,13,10,242.000000000000000,217800.000000000000000
110,13,14,37.000000000000000,33300.000000000000000
111,13,15,49.000000000000000,44100.000000000000000
112,13,16,108.000000000000000,97200.000000000000000
113,13,18,1069.000000000000000,962100.000000000000000
114,14,1,66.000000000000000,59400.000000000000000
115,14,5,493.000000000000000,443700.000000000000000
116,14,6,185.000000000000000,166500.000000000000000
117,14,8,223.000000000000000,200700.000000000000000
118,14,10,26.000000000000000,23400.000000000000000
119,14,15,3430.000000000000000,3087000.000000000000000
120,14,16,318.000000000000000,286200.000000000000000
121,14,17,421.000000000000000,378900.000000000000000
122,15,1,1116.000000000000000,1004400.000000000000000
123,15,5,1079.000000000000000,971100.000000000000000
124,15,6,366.000000000000000,329400.000000000000000
125,15,8,131.000000000000000,117900.000000000000000
126,15,14,28.000000000000000,25200.000000000000000
127,15,16,101.000000000000000,90900.000000000000000
128,15,17,625.000000000000000,562500.000000000000000
129,15,18,1718.000000000000000,1546200.000000000000000
130,16,1,1124.000000000000000,1011600.000000000000000
131,16,5,1081.000000000000000,972900.000000000000000
132,16,6,366.000000000000000,329400.000000000000000
133,16,8,131.000000000000000,117900.000000000000000
134,16,14,28.000000000000000,25200.000000000000000
135,16,16,100.000000000000000,90000.000000000000000
136,16,17,627.000000000000000,564300.000000000000000
137,16,18,1702.000000000000000,1531800.000000000000000
138,17,1,385.000000000000000,346500.000000000000000
139,17,5,278.000000000000000,250200.000000000000000
140,17,6,687.000000000000000,618300.000000000000000
141,17,8,116.000000000000000,104400.000000000000000
142,17,10,39.000000000000000,35100.000000000000000
143,17,14,895.000000000000000,805500.000000000000000
144,17,15,1295.000000000000000,1165500.000000000000000
145,17,16,19.000000000000000,17100.000000000000000
146,17,17,189.000000000000000,170100.000000000000000
147,17,18,1261.000000000000000,1134900.000000000000000
148,18,1,78.000000000000000,70200.000000000000000
149,18,5,1391.000000000000000,1251900.000000000000000
150,18,6,2798.000000000000000,2518200.000000000000000
151,18,8,47.000000000000000,42300.000000000000000
152,18,10,6.000000000000000,5400.000000000000000
153,18,14,13.000000000000000,11700.000000000000000
154,18,16,27.000000000000000,24300.000000000000000
155,18,17,282.000000000000000,253800.000000000000000
156,18,18,531.000000000000000,477900.000000000000000
157,19,1,198.000000000000000,178200.000000000000000
158,19,5,2782.000000000000000,2503800.000000000000000
159,19,6,282.000000000000000,253800.000000000000000
160,19,8,29.000000000000000,26100.000000000000000
161,19,10,121.000000000000000,108900.000000000000000
162,19,14,272.000000000000000,244800.000000000000000
163,19,15,1172.000000000000000,1054800.000000000000000
164,19,16,5.000000000000000,4500.000000000000000
165,19,17,303.000000000000000,272700.000000000000000
166,20,5,1412.000000000000000,1270800.000000000000000
167,20,6,1321.000000000000000,1188900.000000000000000
168,20,8,61.000000000000000,54900.000000000000000
169,20,10,8.000000000000000,7200.000000000000000
170,20,14,28.000000000000000,25200.000000000000000
171,20,15,948.000000000000000,853200.000000000000000
172,20,16,143.000000000000000,128700.000000000000000
173,20,17,1217.000000000000000,1095300.000000000000000
174,20,18,29.000000000000000,26100.000000000000000
175,21,5,925.000000000000000,832500.000000000000000
176,21,6,478.000000000000000,430200.000000000000000
177,21,8,51.000000000000000,45900.000000000000000
178,21,10,57.000000000000000,51300.000000000000000
179,21,14,16.000000000000000,14400.000000000000000
180,21,15,3253.000000000000000,2927700.000000000000000
181,21,16,86.000000000000000,77400.000000000000000
182,21,17,267.000000000000000,240300.000000000000000
183,21,18,39.000000000000000,35100.000000000000000
184,22,1,387.000000000000000,348300.000000000000000
185,22,5,131.000000000000000,117900.000000000000000
186,22,6,545.000000000000000,490500.000000000000000
187,22,8,49.000000000000000,44100.000000000000000
188,22,10,12.000000000000000,10800.000000000000000
189,22,14,630.000000000000000,567000.000000000000000
