"","OID_","OBJECTID_1","Value","Count","Area"
"1",1,1,1,939,845100
"2",2,1,5,19541,17586900
"3",3,1,6,4492,4042800
"4",4,1,8,1305,1174500
"5",5,1,10,251,225900
"6",6,1,14,1278,1150200
"7",7,1,15,28238,25414200
"8",8,1,16,2531,2277900
"9",9,1,17,5833,5249700
"10",10,1,18,15131,13617900
"11",11,2,1,2780,2502000
"12",12,2,5,16257,14631300
"13",13,2,6,45942,41347800
"14",14,2,8,1403,1262700
"15",15,2,10,583,524700
"16",16,2,14,1300,1170000
"17",17,2,15,6139,5525100
"18",18,2,16,304,273600
"19",19,2,17,1666,1499400
"20",20,2,18,2365,2128500
"21",21,3,1,4436,3992400
"22",22,3,5,25738,23164200
"23",23,3,6,37537,33783300
"24",24,3,8,1137,1023300
"25",25,3,10,903,812700
"26",26,3,14,2901,2610900
"27",27,3,15,34,30600
"28",28,3,16,611,549900
"29",29,3,17,903,812700
"30",30,3,18,5120,4608000
"31",31,4,1,4744,4269600
"32",32,4,5,17323,15590700
"33",33,4,6,20800,18720000
"34",34,4,8,1225,1102500
"35",35,4,10,288,259200
"36",36,4,14,321,288900
"37",37,4,15,175,157500
"38",38,4,16,1796,1616400
"39",39,4,17,13957,12561300
"40",40,4,18,18091,16281900
"41",41,5,1,3950,3555000
"42",42,5,5,18262,16435800
"43",43,5,6,38406,34565400
"44",44,5,8,636,572400
"45",45,5,10,88,79200
"46",46,5,14,757,681300
"47",47,5,15,8356,7520400
"48",48,5,16,191,171900
"49",49,5,17,2735,2461500
"50",50,5,18,5433,4889700
"51",51,6,1,10607,9546300
"52",52,6,5,18501,16650900
"53",53,6,6,41722,37549800
"54",54,6,8,216,194400
"55",55,6,10,28,25200
"56",56,6,14,969,872100
"57",57,6,16,379,341100
"58",58,6,17,350,315000
"59",59,6,18,6157,5541300
"60",60,7,1,3805,3424500
"61",61,7,5,21844,19659600
"62",62,7,6,43058,38752200
"63",63,7,8,244,219600
"64",64,7,10,77,69300
"65",65,7,14,406,365400
"66",66,7,16,128,115200
"67",67,7,17,632,568800
"68",68,7,18,8748,7873200
"69",69,8,1,3641,3276900
"70",70,8,5,17935,16141500
"71",71,8,6,44790,40311000
"72",72,8,8,1167,1050300
"73",73,8,10,150,135000
"74",74,8,14,487,438300
"75",75,8,15,612,550800
"76",76,8,16,1309,1178100
"77",77,8,17,4511,4059900
"78",78,8,18,4129,3716100
"79",79,9,1,2826,2543400
"80",80,9,5,15502,13951800
"81",81,9,6,47805,43024500
"82",82,9,8,1167,1050300
"83",83,9,10,541,486900
"84",84,9,14,1000,9e+05
"85",85,9,15,5682,5113800
"86",86,9,16,239,215100
"87",87,9,17,1539,1385100
"88",88,9,18,2438,2194200
"89",89,10,1,2055,1849500
"90",90,10,5,23466,21119400
"91",91,10,6,34639,31175100
