"","OID_","OBJECTID_1","Value","Count","Area"
"1",1,1,10,2,1800
"2",2,1,14,25,22500
"3",3,1,17,9,8100
"4",4,1,18,8,7200
"5",5,2,1,15,13500
"6",6,2,5,15,13500
"7",7,2,6,4,3600
"8",8,2,15,1,900
"9",9,2,17,10,9000
"10",10,3,1,10,9000
"11",11,3,5,3,2700
"12",12,3,6,23,20700
"13",13,3,15,5,4500
"14",14,3,16,3,2700
"15",15,4,15,11,9900
"16",16,4,17,33,29700
"17",17,5,5,4,3600
"18",18,5,6,32,28800
"19",19,5,17,12,10800
"20",20,6,5,4,3600
"21",21,6,6,32,28800
"22",22,6,17,12,10800
"23",23,8,5,20,18000
"24",24,8,8,5,4500
"25",25,8,15,23,20700
"26",26,9,5,1,900
"27",27,9,6,1,900
"28",28,9,15,33,29700
"29",29,9,17,10,9000
"30",30,10,5,4,3600
"31",31,10,6,32,28800
"32",32,10,17,12,10800
"33",33,11,5,4,3600
"34",34,11,6,32,28800
"35",35,11,17,12,10800
"36",36,12,5,4,3600
"37",37,12,6,32,28800
"38",38,12,17,12,10800
"39",39,13,5,4,3600
"40",40,13,6,32,28800
"41",41,13,17,12,10800
"42",42,14,5,4,3600
"43",43,14,6,32,28800
"44",44,14,17,12,10800
"45",45,15,5,4,3600
"46",46,15,6,32,28800
"47",47,15,17,12,10800
"48",48,16,5,13,11700
"49",49,16,6,12,10800
"50",50,16,15,20,18000
"51",51,17,5,13,11700
"52",52,17,6,34,30600
"53",53,18,5,5,4500
"54",54,18,6,1,900
"55",55,18,15,12,10800
"56",56,18,17,27,24300
"57",57,19,5,5,4500
"58",58,19,6,1,900
"59",59,19,15,12,10800
"60",60,19,17,27,24300
"61",61,21,1,4,3600
"62",62,21,5,34,30600
"63",63,21,6,6,5400
"64",64,22,5,8,7200
"65",65,22,6,40,36000
"66",66,23,5,9,8100
"67",67,23,6,35,31500
"68",68,24,1,11,9900
"69",69,24,6,21,18900
"70",70,24,8,2,1800
"71",71,24,17,8,7200
"72",72,24,18,3,2700
"73",73,25,1,32,28800
"74",74,25,5,2,1800
"75",75,25,6,1,900
"76",76,25,14,1,900
"77",77,25,17,10,9000
"78",78,26,5,25,22500
"79",79,26,8,9,8100
"80",80,26,16,2,1800
"81",81,26,17,9,8100
"82",82,27,5,29,26100
"83",83,27,6,4,3600
"84",84,27,8,2,1800
"85",85,27,17,10,9000
"86",86,28,5,4,3600
"87",87,28,6,32,28800
"88",88,28,17,12,10800
"89",89,29,5,4,3600
"90",90,29,6,32,28800
"91",91,29,17,12,10800
"92",92,30,6,45,40500
"93",93,31,5,4,3600
"94",94,31,6,32,28800
"95",95,31,17,12,10800
"96",96,32,5,4,3600
"97",97,32,6,32,28800
"98",98,32,17,12,10800
"99",99,33,5,4,3600
"100",100,33,6,32,28800
"101",101,33,17,12,10800
"102",102,34,5,4,3600
"103",103,34,6,32,28800
"104",104,34,17,12,10800
"105",105,35,5,4,3600
"106",106,35,6,32,28800
"107",107,35,17,12,10800
"108",108,36,5,21,18900
"109",109,36,10,8,7200
"110",110,36,15,12,10800
"111",111,36,16,7,6300
"112",112,38,1,13,11700
"113",113,38,5,3,2700
"114",114,38,6,8,7200
"115",115,38,15,11,9900
"116",116,38,17,10,9000
"117",117,39,5,14,12600
"118",118,39,6,22,19800
"119",119,39,17,9,8100
"120",120,40,5,4,3600
"121",121,40,6,32,28800
"122",122,40,17,12,10800
"123",123,41,5,4,3600
"124",124,41,6,32,28800
"125",125,41,17,12,10800
"126",126,42,5,4,3600
"127",127,42,6,32,28800
"128",128,42,17,12,10800
"129",129,43,5,4,3600
"130",130,43,6,32,28800
"131",131,43,17,12,10800
"132",132,44,6,33,29700
"133",133,44,17,10,9000
"134",134,44,18,1,900
"135",135,45,5,4,3600
"136",136,45,6,32,28800
"137",137,45,17,12,10800
"138",138,46,5,4,3600
"139",139,46,6,32,28800
"140",140,46,17,12,10800
"141",141,47,5,4,3600
"142",142,47,6,32,28800
"143",143,47,17,12,10800
"144",144,48,5,4,3600
"145",145,48,6,32,28800
"146",146,48,17,12,10800
"147",147,49,5,4,3600
"148",148,49,6,32,28800
"149",149,49,17,12,10800
"150",150,50,5,4,3600
"151",151,50,6,32,28800
"152",152,50,17,12,10800
"153",153,51,1,5,4500
"154",154,51,5,7,6300
"155",155,51,6,18,16200
"156",156,51,17,13,11700
"157",157,52,5,28,25200
"158",158,52,6,20,18000
"159",159,53,1,9,8100
"160",160,53,5,16,14400
"161",161,53,6,11,9900
"162",162,53,8,6,5400
"163",163,53,17,3,2700
"164",164,54,5,34,30600
"165",165,54,17,11,9900
"166",166,55,5,4,3600
"167",167,55,6,32,28800
"168",168,55,17,12,10800
"169",169,56,15,46,41400
"170",170,57,5,34,30600
"171",171,57,16,11,9900
"172",172,58,5,7,6300
"173",173,58,6,4,3600
"174",174,58,16,15,13500
"175",175,58,17,19,17100
"176",176,60,10,8,7200
"177",177,60,15,23,20700
"178",178,60,17,15,13500
"179",179,61,5,6,5400
"180",180,61,6,11,9900
"181",181,61,15,19,17100
"182",182,61,16,8,7200
"183",183,62,1,8,7200
"184",184,62,5,3,2700
"185",185,62,6,15,13500
"186",186,62,17,19,17100
"187",187,63,1,7,6300
"188",188,63,5,2,1800
"189",189,63,6,21,18900
"190",190,63,15,4,3600
"191",191,63,18,12,10800
"192",192,64,1,11,9900
