"","OID_","OBJECTID_1","Value","Count","Area"
"1",1,1,1,97,87300
"2",2,1,5,147,132300
"3",3,1,6,130,117000
"4",4,1,8,75,67500
"5",5,1,17,44,39600
"6",6,1,18,50,45000
"7",7,2,5,154,138600
"8",8,2,6,331,297900
"9",9,2,8,23,20700
"10",10,2,16,2,1800
"11",11,2,17,34,30600
"12",12,3,1,28,25200
"13",13,3,5,63,56700
"14",14,3,6,205,184500
"15",15,3,10,4,3600
"16",16,3,15,4,3600
"17",17,3,17,233,209700
"18",18,3,18,6,5400
"19",19,4,5,38,34200
"20",20,4,8,9,8100
"21",21,4,15,456,410400
"22",22,4,17,26,23400
"23",23,4,18,14,12600
"24",24,5,1,410,369000
"25",25,5,5,135,121500
"26",26,6,1,77,69300
"27",27,6,5,170,153000
"28",28,6,6,187,168300
"29",29,6,10,59,53100
"30",30,6,15,31,27900
"31",31,6,17,19,17100
"32",32,7,1,8,7200
"33",33,7,5,44,39600
"34",34,7,6,383,344700
"35",35,7,15,67,60300
"36",36,7,16,11,9900
"37",37,7,17,29,26100
"38",38,8,1,8,7200
"39",39,8,5,48,43200
"40",40,8,6,402,361800
"41",41,8,15,34,30600
"42",42,8,16,35,31500
"43",43,8,17,17,15300
"44",44,9,1,154,138600
"45",45,9,5,236,212400
"46",46,9,6,35,31500
"47",47,9,14,10,9000
"48",48,9,15,67,60300
"49",49,9,17,40,36000
"50",50,10,1,12,10800
"51",51,10,5,118,106200
"52",52,10,6,227,204300
"53",53,10,17,12,10800
"54",54,10,18,177,159300
"55",55,11,5,313,281700
"56",56,11,6,13,11700
"57",57,11,8,6,5400
"58",58,11,14,67,60300
"59",59,11,15,98,88200
"60",60,11,17,33,29700
"61",61,11,18,13,11700
"62",62,12,1,3,2700
"63",63,12,5,234,210600
"64",64,12,6,11,9900
"65",65,12,8,113,101700
"66",66,12,10,18,16200
"67",67,12,14,25,22500
"68",68,12,15,59,53100
"69",69,12,16,53,47700
"70",70,12,17,27,24300
"71",71,13,5,270,243000
"72",72,13,6,164,147600
"73",73,13,17,108,97200
"74",74,14,5,142,127800
"75",75,14,6,113,101700
"76",76,14,8,4,3600
"77",77,14,10,28,25200
"78",78,14,15,201,180900
"79",79,14,17,56,50400
"80",80,15,1,93,83700
"81",81,15,5,212,190800
"82",82,15,6,113,101700
"83",83,15,8,36,32400
"84",84,15,15,36,32400
"85",85,15,16,17,15300
"86",86,15,18,37,33300
"87",87,16,1,134,120600
"88",88,16,5,259,233100
"89",89,16,6,45,40500
"90",90,16,8,66,59400
"91",91,16,16,39,35100
"92",92,16,17,1,900
"93",93,17,1,144,129600
"94",94,17,5,248,223200
"95",95,17,6,42,37800
"96",96,17,8,46,41400
"97",97,17,15,4,3600
"98",98,17,16,35,31500
"99",99,17,17,25,22500
"100",100,18,1,151,135900
"101",101,18,5,239,215100
"102",102,18,6,34,30600
"103",103,18,8,43,38700
"104",104,18,15,5,4500
"105",105,18,16,42,37800
"106",106,18,17,31,27900
"107",107,19,5,435,391500
"108",108,19,6,82,73800
"109",109,19,18,26,23400
"110",110,20,1,67,60300
"111",111,20,5,359,323100
"112",112,20,6,92,82800
"113",113,20,8,4,3600
"114",114,20,14,3,2700
"115",115,20,18,20,18000
"116",116,21,1,81,72900
"117",117,21,5,83,74700
"118",118,21,6,322,289800
"119",119,21,15,26,23400
"120",120,21,17,34,30600
"121",121,22,1,95,85500
"122",122,22,5,217,195300
"123",123,22,6,108,97200
"124",124,22,8,33,29700
"125",125,22,15,41,36900
"126",126,22,16,20,18000
"127",127,22,18,30,27000
"128",128,23,5,129,116100
"129",129,23,10,1,900
"130",130,23,15,322,289800
"131",131,23,16,60,54000
"132",132,23,17,32,28800
"133",133,24,5,411,369900
"134",134,24,6,69,62100
"135",135,24,15,19,17100
"136",136,24,16,22,19800
"137",137,24,17,23,20700
"138",138,25,1,60,54000
"139",139,25,5,176,158400
"140",140,25,6,239,215100
"141",141,25,8,2,1800
"142",142,25,14,26,23400
"143",143,25,16,9,8100
"144",144,25,17,16,14400
"145",145,25,18,14,12600
"146",146,26,1,14,12600
"147",147,26,5,89,80100
"148",148,26,6,4,3600
"149",149,26,8,59,53100
"150",150,26,10,5,4500
"151",151,26,14,57,51300
"152",152,26,16,113,101700
"153",153,26,17,207,186300
"154",154,27,5,126,113400
"155",155,27,6,118,106200
"156",156,27,14,4,3600
"157",157,27,15,246,221400
"158",158,27,16,14,12600
"159",159,27,17,17,15300
"160",160,27,18,17,15300
"161",161,28,1,12,10800
"162",162,28,5,68,61200
"163",163,28,6,93,83700
"164",164,28,14,2,1800
"165",165,28,15,340,306000
"166",166,28,17,29,26100
"167",167,29,1,40,36000
"168",168,29,5,96,86400
"169",169,29,6,340,306000
"170",170,29,8,7,6300
"171",171,29,14,20,18000
"172",172,29,17,38,34200
"173",173,30,5,102,91800
"174",174,30,6,28,25200
"175",175,30,17,251,225900
"176",176,30,18,162,145800
"177",177,31,1,49,44100
"178",178,31,5,64,57600
"179",179,31,6,111,99900
"180",180,31,8,3,2700
"181",181,31,17,317,285300
"182",182,32,1,125,112500
"183",183,32,5,16,14400
"184",184,32,8,158,142200
"185",185,32,10,5,4500
"186",186,32,16,135,121500
"187",187,32,17,102,91800
"188",188,32,18,3,2700
"189",189,33,1,206,185400
"190",190,33,5,129,116100
"191",191,33,6,49,44100
"192",192,33,14,60,54000
"193",193,33,15,65,58500
"194",194,33,17,35,31500
"195",195,34,1,19,17100
"196",196,34,5,426,383400
"197",197,34,6,47,42300
"198",198,34,8,52,46800
"199",199,35,1,2,1800
"200",200,35,5,138,124200
"201",201,35,6,182,163800
"202",202,35,14,20,18000
"203",203,35,15,12,10800
"204",204,35,17,26,23400
"205",205,35,18,163,146700
"206",206,36,1,4,3600
"207",207,36,5,531,477900
"208",208,36,10,9,8100
"209",209,37,5,492,442800
"210",210,37,6,49,44100
"211",211,38,5,370,333000
"212",212,38,6,146,131400
"213",213,38,10,6,5400
"214",214,38,18,22,19800
"215",215,39,1,199,179100
"216",216,39,5,197,177300
"217",217,39,6,143,128700
"218",218,39,8,2,1800
"219",219,39,17,2,1800
"220",220,40,10,5,4500
"221",221,40,17,541,486900
"222",222,41,5,397,357300
"223",223,41,6,41,36900
"224",224,41,15,71,63900
"225",225,41,18,37,33300
"226",226,42,1,195,175500
"227",227,42,5,155,139500
"228",228,42,6,123,110700
"229",229,42,8,8,7200
"230",230,42,10,19,17100
"231",231,42,16,43,38700
"232",232,43,5,26,23400
"233",233,43,6,50,45000
"234",234,43,8,9,8100
"235",235,43,14,5,4500
"236",236,43,15,51,45900
"237",237,43,16,107,96300
"238",238,43,17,259,233100
"239",239,43,18,43,38700
"240",240,44,5,277,249300
"241",241,44,6,31,27900
"242",242,44,8,1,900
"243",243,44,14,12,10800
"244",244,44,16,29,26100
"245",245,44,17,67,60300
"246",246,44,18,129,116100
"247",247,45,5,8,7200
"248",248,45,6,111,99900
"249",249,45,15,182,163800
"250",250,45,17,77,69300
"251",251,45,18,165,148500
"252",252,46,1,43,38700
"253",253,46,5,320,288000
"254",254,46,6,86,77400
"255",255,46,8,55,49500
"256",256,46,18,46,41400
"257",257,47,1,6,5400
"258",258,47,5,291,261900
"259",259,47,6,159,143100
"260",260,47,15,70,63000
"261",261,47,17,19,17100
"262",262,48,1,34,30600
"263",263,48,5,347,312300
"264",264,48,6,125,112500
"265",265,48,8,23,20700
"266",266,48,18,15,13500
"267",267,49,5,260,234000
"268",268,49,6,11,9900
"269",269,49,8,122,109800
"270",270,49,15,118,106200
"271",271,49,16,7,6300
"272",272,49,17,25,22500
"273",273,50,5,393,353700
"274",274,50,6,120,108000
"275",275,50,17,31,27900
"276",276,51,5,389,350100
"277",277,51,6,67,60300
"278",278,51,8,6,5400
