"","OID_","OBJECTID_1","Value","Count","Area"
"1",1,1,1,3385,3046500
"2",2,1,5,11950,10755000
"3",3,1,6,6173,5555700
"4",4,1,8,120,108000
"5",5,1,10,54,48600
"6",6,1,14,2269,2042100
"7",7,1,15,3864,3477600
"8",8,1,17,1510,1359000
"9",9,1,18,116,104400
"10",10,2,1,2965,2668500
"11",11,2,5,7769,6992100
"12",12,2,6,4906,4415400
"13",13,2,8,56,50400
"14",14,2,10,59,53100
"15",15,2,14,3134,2820600
"16",16,2,15,8546,7691400
"17",17,2,17,1885,1696500
"18",18,2,18,98,88200
"19",19,3,1,3126,2813400
"20",20,3,5,10943,9848700
"21",21,3,6,5772,5194800
"22",22,3,8,93,83700
"23",23,3,10,49,44100
"24",24,3,14,2306,2075400
"25",25,3,15,5800,5220000
"26",26,3,17,1287,1158300
"27",27,3,18,45,40500
"28",28,4,1,1592,1432800
"29",29,4,5,3730,3357000
"30",30,4,6,2226,2003400
"31",31,4,8,17,15300
"32",32,4,10,6,5400
"33",33,4,14,856,770400
"34",34,4,15,19857,17871300
"35",35,4,16,5,4500
"36",36,4,17,1129,1016100
"37",37,4,18,7,6300
"38",38,5,1,4129,3716100
"39",39,5,5,14556,13100400
"40",40,5,6,2485,2236500
"41",41,5,8,242,217800
"42",42,5,10,94,84600
"43",43,5,14,363,326700
"44",44,5,15,6320,5688000
"45",45,5,17,1176,1058400
"46",46,5,18,75,67500
"47",47,6,1,4129,3716100
"48",48,6,5,14556,13100400
"49",49,6,6,2485,2236500
"50",50,6,8,242,217800
"51",51,6,10,94,84600
"52",52,6,14,363,326700
"53",53,6,15,6320,5688000
"54",54,6,17,1176,1058400
"55",55,6,18,75,67500
"56",56,7,1,4129,3716100
"57",57,7,5,14556,13100400
"58",58,7,6,2485,2236500
"59",59,7,8,242,217800
"60",60,7,10,94,84600
"61",61,7,14,363,326700
"62",62,7,15,6320,5688000
"63",63,7,17,1176,1058400
"64",64,7,18,75,67500
"65",65,8,1,325,292500
"66",66,8,5,5225,4702500
"67",67,8,6,663,596700
"68",68,8,8,501,450900
"69",69,8,10,83,74700
"70",70,8,14,465,418500
"71",71,8,15,2594,2334600
"72",72,8,16,2487,2238300
