"","OID_","OBJECTID_1","Value","Count","Area"
"1",1,1,5,2,60
"2",2,1,6,3,90
"3",3,2,5,3,90
"4",4,2,6,2,60
"5",5,3,5,1,30
"6",6,3,8,4,120
"7",7,4,5,3,90
"8",8,4,8,1,30
"9",9,5,5,4,120
"10",10,6,5,4,120
"11",11,7,5,4,120
"12",12,7,18,1,30
"13",13,8,5,4,120
"14",14,8,18,1,30
"15",15,9,5,3,90
"16",16,9,8,1,30
"17",17,10,5,6,180
"18",18,11,5,1,30
"19",19,11,6,3,90
"20",20,16,5,4,120
"21",21,19,6,2,60
"22",22,19,17,3,90
"23",23,20,5,5,150
"24",24,21,6,6,180
"25",25,22,15,4,120
"26",26,23,1,4,120
"27",27,24,1,4,120
"28",28,25,5,1,30
"29",29,25,6,4,120
"30",30,26,5,3,90
"31",31,26,6,1,30
"32",32,27,1,4,120
"33",33,28,1,4,120
"34",34,29,6,2,60
"35",35,29,18,3,90
"36",36,30,1,1,30
"37",37,30,6,5,150
"38",38,31,5,3,90
"39",39,31,6,1,30
"40",40,32,6,4,120
"41",41,33,5,4,120
"42",42,34,15,5,150
"43",43,35,5,4,120
"44",44,36,5,5,150
"45",45,37,5,4,120
"46",46,37,6,1,30
"47",47,38,5,3,90
"48",48,38,6,1,30
"49",49,39,5,4,120
"50",50,40,5,4,120
"51",51,41,15,5,150
"52",52,42,15,5,150
"53",53,43,15,4,120
"54",54,44,15,6,180
"55",55,45,5,5,150
"56",56,46,5,4,120
"57",57,47,5,5,150
"58",58,48,5,4,120
"59",59,49,5,4,120
"60",60,50,5,5,150
"61",61,51,5,4,120
"62",62,52,15,4,120
"63",63,53,5,4,120
"64",64,54,5,2,60
"65",65,54,6,2,60
"66",66,55,5,5,150
"67",67,56,6,5,150
"68",68,56,17,1,30
"69",69,57,5,2,60
"70",70,57,17,3,90
"71",71,58,5,1,30
"72",72,58,6,1,30
"73",73,58,17,3,90
"74",74,59,5,2,60
"75",75,59,17,2,60
"76",76,60,6,5,150
"77",77,61,5,4,120
"78",78,61,17,1,30
"79",79,62,5,3,90
"80",80,62,6,2,60
"81",81,63,6,5,150
"82",82,64,5,6,180
