"","OID_","OBJECTID1","Value","Count","Area"
"1",1,1,1,3,2700
"2",2,1,5,71,63900
"3",3,1,6,34,30600
"4",4,2,5,7,6300
"5",5,2,15,87,78300
"6",6,2,17,12,10800
"7",7,3,5,28,25200
"8",8,3,6,77,69300
"9",9,4,5,28,25200
"10",10,4,6,67,60300
"11",11,4,18,11,9900
"12",12,5,5,67,60300
"13",13,5,15,29,26100
"14",14,5,17,9,8100
"15",15,6,1,12,10800
"16",16,6,5,21,18900
"17",17,6,6,26,23400
"18",18,6,15,40,36000
"19",19,6,17,13,11700
"20",20,7,5,66,59400
"21",21,7,6,22,19800
"22",22,7,8,2,1800
"23",23,7,17,15,13500
"24",24,8,5,41,36900
"25",25,8,6,36,32400
"26",26,8,8,1,900
"27",27,8,17,15,13500
"28",28,8,18,9,8100
"29",29,9,5,13,11700
"30",30,9,6,75,67500
"31",31,9,17,16,14400
"32",32,10,5,26,23400
"33",33,10,6,60,54000
"34",34,10,17,17,15300
"35",35,11,5,41,36900
"36",36,11,6,32,28800
"37",37,11,8,16,14400
"38",38,11,17,14,12600
"39",39,12,5,66,59400
"40",40,12,6,14,12600
"41",41,12,8,4,3600
"42",42,12,15,10,9000
"43",43,12,17,10,9000
"44",44,13,1,1,900
"45",45,13,5,2,1800
"46",46,13,6,52,46800
"47",47,13,17,45,40500
"48",48,13,18,4,3600
"49",49,14,5,19,17100
"50",50,14,6,52,46800
"51",51,14,15,20,18000
"52",52,14,16,5,4500
"53",53,14,17,9,8100
"54",54,15,5,78,70200
"55",55,15,6,15,13500
"56",56,15,8,11,9900
"57",57,16,6,23,20700
"58",58,16,8,11,9900
"59",59,16,14,3,2700
"60",60,16,16,5,4500
"61",61,16,17,56,50400
"62",62,16,18,5,4500
"63",63,17,1,69,62100
"64",64,17,5,2,1800
"65",65,17,6,16,14400
"66",66,17,14,15,13500
"67",67,18,1,18,16200
"68",68,18,5,9,8100
"69",69,18,6,3,2700
"70",70,18,8,20,18000
"71",71,18,16,53,47700
"72",72,18,17,3,2700
"73",73,19,1,8,7200
"74",74,19,5,71,63900
"75",75,19,6,16,14400
"76",76,19,8,7,6300
"77",77,19,10,1,900
"78",78,20,1,20,18000
"79",79,20,5,36,32400
"80",80,20,6,10,9000
"81",81,20,14,6,5400
"82",82,20,17,35,31500
"83",83,21,5,9,8100
"84",84,21,6,76,68400
"85",85,21,10,6,5400
"86",86,21,15,1,900
"87",87,21,17,14,12600
"88",88,22,5,74,66600
"89",89,22,6,36,32400
"90",90,22,16,1,900
"91",91,23,5,48,43200
"92",92,23,8,15,13500
"93",93,23,14,1,900
"94",94,23,16,6,5400
"95",95,23,17,22,19800
"96",96,23,18,14,12600
"97",97,24,5,17,15300
"98",98,24,6,87,78300
"99",99,25,1,2,1800
"100",100,25,5,46,41400
"101",101,25,6,56,50400
"102",102,26,5,99,89100
"103",103,26,8,6,5400
"104",104,27,5,34,30600
"105",105,27,6,9,8100
"106",106,27,8,1,900
"107",107,27,15,45,40500
"108",108,27,17,16,14400
"109",109,28,5,71,63900
"110",110,28,6,2,1800
"111",111,28,10,31,27900
"112",112,29,5,81,72900
"113",113,29,6,19,17100
"114",114,29,14,2,1800
"115",115,30,5,13,11700
"116",116,30,6,5,4500
"117",117,30,15,69,62100
"118",118,30,17,17,15300
"119",119,31,1,16,14400
"120",120,31,5,34,30600
"121",121,31,6,20,18000
"122",122,31,14,14,12600
"123",123,31,15,21,18900
"124",124,32,5,31,27900
"125",125,32,6,33,29700
"126",126,32,14,6,5400
"127",127,32,17,15,13500
"128",128,32,18,19,17100
"129",129,33,5,104,93600
"130",130,34,1,1,900
"131",131,34,5,47,42300
"132",132,34,6,58,52200
"133",133,35,5,26,23400
"134",134,35,6,10,9000
"135",135,35,15,66,59400
"136",136,35,16,2,1800
"137",137,36,5,26,23400
"138",138,36,6,61,54900
"139",139,36,17,16,14400
"140",140,37,1,3,2700
"141",141,37,5,34,30600
"142",142,37,15,7,6300
"143",143,37,17,59,53100
"144",144,38,1,4,3600
"145",145,38,5,4,3600
"146",146,38,17,95,85500
"147",147,39,1,12,10800
"148",148,39,5,52,46800
"149",149,39,6,10,9000
"150",150,39,10,22,19800
"151",151,39,18,8,7200
"152",152,40,5,34,30600
"153",153,40,10,9,8100
"154",154,40,14,3,2700
"155",155,40,15,22,19800
"156",156,40,16,21,18900
"157",157,40,17,15,13500
"158",158,41,5,14,12600
"159",159,41,15,68,61200
"160",160,41,16,6,5400
"161",161,41,17,16,14400
"162",162,42,5,25,22500
"163",163,42,14,30,27000
"164",164,42,15,31,27900
