OID_,OBJECTID_1,Value,Count,Area
1,1,1,24269.000000000000000,21842100.000000000000000
2,1,5,19496.000000000000000,17546400.000000000000000
3,1,6,3527.000000000000000,3174300.000000000000000
4,1,8,770.000000000000000,693000.000000000000000
5,1,10,414.000000000000000,372600.000000000000000
6,1,14,9070.000000000000000,8163000.000000000000000
7,1,15,4167.000000000000000,3750300.000000000000000
8,1,17,1649.000000000000000,1484100.000000000000000
9,1,18,279.000000000000000,251100.000000000000000
10,2,1,620.000000000000000,558000.000000000000000
11,2,5,9202.000000000000000,8281800.000000000000000
12,2,6,8868.000000000000000,7981200.000000000000000
13,2,8,864.000000000000000,777600.000000000000000
14,2,10,374.000000000000000,336600.000000000000000
15,2,14,1043.000000000000000,938700.000000000000000
16,2,15,37205.000000000000000,33484500.000000000000000
17,2,16,393.000000000000000,353700.000000000000000
18,2,17,4732.000000000000000,4258800.000000000000000
19,2,18,337.000000000000000,303300.000000000000000
20,3,1,3765.000000000000000,3388500.000000000000000
21,3,5,16210.000000000000000,14589000.000000000000000
22,3,6,29979.000000000000000,26981100.000000000000000
23,3,8,1872.000000000000000,1684800.000000000000000
24,3,10,78.000000000000000,70200.000000000000000
25,3,14,1584.000000000000000,1425600.000000000000000
26,3,15,7790.000000000000000,7011000.000000000000000
27,3,16,269.000000000000000,242100.000000000000000
28,3,17,1513.000000000000000,1361700.000000000000000
29,3,18,581.000000000000000,522900.000000000000000
30,4,1,3189.000000000000000,2870100.000000000000000
31,4,5,22293.000000000000000,20063700.000000000000000
32,4,6,22329.000000000000000,20096100.000000000000000
33,4,8,1372.000000000000000,1234800.000000000000000
34,4,10,90.000000000000000,81000.000000000000000
35,4,14,176.000000000000000,158400.000000000000000
36,4,15,2905.000000000000000,2614500.000000000000000
37,4,16,2358.000000000000000,2122200.000000000000000
38,4,17,4398.000000000000000,3958200.000000000000000
39,4,18,4534.000000000000000,4080600.000000000000000
40,5,1,313.000000000000000,281700.000000000000000
