"","OID_","OBJECTID_1","Value","Count","Area","LandcoverNA","NLCD_US","LandcoverUS"
"1",1,1,1,58,52200,"Conifer forest",42,"Evergreen forest"
"2",2,1,5,411,369900,"Deciduous forest",41,"Deciduous forest"
"3",3,1,6,80,72000,"Mixed forest",43,"Mixed forest"
"4",4,1,14,7,6300,"Wetland",90,"Woody&Emerg wetland"
"5",5,2,5,46,41400,"Deciduous forest",41,"Deciduous forest"
"6",6,2,6,53,47700,"Mixed forest",43,"Mixed forest"
"7",7,2,8,10,9000,"Shrubland",52,"Shrub/scrub"
"8",8,2,10,16,14400,"Grassland",71,"Grassland/herbaceous"
"9",9,2,15,396,356400,"Cropland",80,"Pasture/Crops"
"10",10,2,16,14,12600,"Barren land",31,"Barren land"
"11",11,2,17,21,18900,"Urban/built-up",20,"Developed"
"12",12,3,5,265,238500,"Deciduous forest",41,"Deciduous forest"
"13",13,3,6,259,233100,"Mixed forest",43,"Mixed forest"
"14",14,3,8,14,12600,"Shrubland",52,"Shrub/scrub"
"15",15,3,17,4,3600,"Urban/built-up",20,"Developed"
"16",16,3,18,16,14400,"Water",11,"Open water"
"17",17,4,1,6,5400,"Conifer forest",42,"Evergreen forest"
"18",18,4,5,323,290700,"Deciduous forest",41,"Deciduous forest"
"19",19,4,6,52,46800,"Mixed forest",43,"Mixed forest"
"20",20,4,8,136,122400,"Shrubland",52,"Shrub/scrub"
"21",21,4,14,35,31500,"Wetland",90,"Woody&Emerg wetland"
"22",22,5,1,7,6300,"Conifer forest",42,"Evergreen forest"
"23",23,5,5,124,111600,"Deciduous forest",41,"Deciduous forest"
"24",24,5,6,118,106200,"Mixed forest",43,"Mixed forest"
"25",25,5,8,24,21600,"Shrubland",52,"Shrub/scrub"
"26",26,5,10,35,31500,"Grassland",71,"Grassland/herbaceous"
"27",27,5,15,123,110700,"Cropland",80,"Pasture/Crops"
"28",28,5,17,126,113400,"Urban/built-up",20,"Developed"
"29",29,6,5,106,95400,"Deciduous forest",41,"Deciduous forest"
"30",30,6,6,438,394200,"Mixed forest",43,"Mixed forest"
"31",31,6,18,15,13500,"Water",11,"Open water"
"32",32,7,1,209,188100,"Conifer forest",42,"Evergreen forest"
"33",33,7,5,207,186300,"Deciduous forest",41,"Deciduous forest"
"34",34,7,6,15,13500,"Mixed forest",43,"Mixed forest"
"35",35,7,14,11,9900,"Wetland",90,"Woody&Emerg wetland"
"36",36,7,15,107,96300,"Cropland",80,"Pasture/Crops"
"37",37,7,17,8,7200,"Urban/built-up",20,"Developed"
"38",38,8,1,14,12600,"Conifer forest",42,"Evergreen forest"
"39",39,8,5,282,253800,"Deciduous forest",41,"Deciduous forest"
"40",40,8,6,224,201600,"Mixed forest",43,"Mixed forest"
"41",41,8,8,12,10800,"Shrubland",52,"Shrub/scrub"
"42",42,8,14,7,6300,"Wetland",90,"Woody&Emerg wetland"
"43",43,8,18,16,14400,"Water",11,"Open water"
"44",44,9,5,89,80100,"Deciduous forest",41,"Deciduous forest"
"45",45,9,6,15,13500,"Mixed forest",43,"Mixed forest"
"46",46,9,15,453,407700,"Cropland",80,"Pasture/Crops"
"47",47,10,1,273,245700,"Conifer forest",42,"Evergreen forest"
"48",48,10,5,226,203400,"Deciduous forest",41,"Deciduous forest"
"49",49,10,6,39,35100,"Mixed forest",43,"Mixed forest"
"50",50,10,14,8,7200,"Wetland",90,"Woody&Emerg wetland"
"51",51,10,15,12,10800,"Cropland",80,"Pasture/Crops"
"52",52,11,5,28,25200,"Deciduous forest",41,"Deciduous forest"
"53",53,11,6,31,27900,"Mixed forest",43,"Mixed forest"
"54",54,11,14,88,79200,"Wetland",90,"Woody&Emerg wetland"
"55",55,11,15,218,196200,"Cropland",80,"Pasture/Crops"
"56",56,11,17,43,38700,"Urban/built-up",20,"Developed"
"57",57,11,18,149,134100,"Water",11,"Open water"
"58",58,12,1,1,900,"Conifer forest",42,"Evergreen forest"
"59",59,12,5,266,239400,"Deciduous forest",41,"Deciduous forest"
"60",60,12,6,274,246600,"Mixed forest",43,"Mixed forest"
"61",61,12,14,14,12600,"Wetland",90,"Woody&Emerg wetland"
"62",62,13,15,494,444600,"Cropland",80,"Pasture/Crops"
"63",63,13,17,31,27900,"Urban/built-up",20,"Developed"
"64",64,13,18,25,22500,"Water",11,"Open water"
"65",65,14,1,2,1800,"Conifer forest",42,"Evergreen forest"
"66",66,14,5,102,91800,"Deciduous forest",41,"Deciduous forest"
"67",67,14,6,265,238500,"Mixed forest",43,"Mixed forest"
"68",68,14,17,99,89100,"Urban/built-up",20,"Developed"
"69",69,14,18,90,81000,"Water",11,"Open water"
"70",70,15,5,97,87300,"Deciduous forest",41,"Deciduous forest"
"71",71,15,6,3,2700,"Mixed forest",43,"Mixed forest"
"72",72,15,15,456,410400,"Cropland",80,"Pasture/Crops"
"73",73,16,5,524,471600,"Deciduous forest",41,"Deciduous forest"
"74",74,16,6,23,20700,"Mixed forest",43,"Mixed forest"
"75",75,16,8,3,2700,"Shrubland",52,"Shrub/scrub"
