OID_,OBJECTID_1,Value,Count,Area
1,1,1,163.000000000000000,146700.000000000000000
2,1,5,4292.000000000000000,3862800.000000000000000
3,1,6,601.000000000000000,540900.000000000000000
4,1,8,388.000000000000000,349200.000000000000000
5,1,10,1776.000000000000000,1598400.000000000000000
6,1,14,512.000000000000000,460800.000000000000000
7,1,16,1745.000000000000000,1570500.000000000000000
8,1,17,19864.000000000000000,17877600.000000000000000
9,1,18,83.000000000000000,74700.000000000000000
10,2,1,1964.000000000000000,1767600.000000000000000
11,2,5,6678.000000000000000,6010200.000000000000000
12,2,6,15538.000000000000000,13984200.000000000000000
13,2,8,343.000000000000000,308700.000000000000000
14,2,10,103.000000000000000,92700.000000000000000
15,2,14,28.000000000000000,25200.000000000000000
16,2,15,1342.000000000000000,1207800.000000000000000
17,2,16,552.000000000000000,496800.000000000000000
18,2,17,2242.000000000000000,2017800.000000000000000
19,2,18,636.000000000000000,572400.000000000000000
20,3,1,714.000000000000000,642600.000000000000000
21,3,5,1996.000000000000000,1796400.000000000000000
22,3,6,7204.000000000000000,6483600.000000000000000
23,3,8,719.000000000000000,647100.000000000000000
24,3,10,48.000000000000000,43200.000000000000000
25,3,14,309.000000000000000,278100.000000000000000
26,3,15,16470.000000000000000,14823000.000000000000000
27,3,16,450.000000000000000,405000.000000000000000
28,3,17,1428.000000000000000,1285200.000000000000000
29,3,18,102.000000000000000,91800.000000000000000
30,4,1,2114.000000000000000,1902600.000000000000000
31,4,5,10355.000000000000000,9319500.000000000000000
32,4,6,11838.000000000000000,10654200.000000000000000
33,4,8,590.000000000000000,531000.000000000000000
34,4,10,5.000000000000000,4500.000000000000000
35,4,14,246.000000000000000,221400.000000000000000
36,4,16,318.000000000000000,286200.000000000000000
37,4,17,1663.000000000000000,1496700.000000000000000
38,4,18,2304.000000000000000,2073600.000000000000000
39,5,1,1050.000000000000000,945000.000000000000000
40,5,5,17202.000000000000000,15481800.000000000000000
41,5,6,9342.000000000000000,8407800.000000000000000
42,5,8,38.000000000000000,34200.000000000000000
43,5,10,37.000000000000000,33300.000000000000000
44,5,14,59.000000000000000,53100.000000000000000
45,5,15,53.000000000000000,47700.000000000000000
46,5,16,28.000000000000000,25200.000000000000000
47,5,17,671.000000000000000,603900.000000000000000
48,5,18,965.000000000000000,868500.000000000000000
49,6,1,1271.000000000000000,1143900.000000000000000
50,6,5,14283.000000000000000,12854700.000000000000000
51,6,6,10588.000000000000000,9529200.000000000000000
52,6,8,147.000000000000000,132300.000000000000000
53,6,10,51.000000000000000,45900.000000000000000
54,6,14,156.000000000000000,140400.000000000000000
55,6,16,22.000000000000000,19800.000000000000000
56,6,17,376.000000000000000,338400.000000000000000
57,6,18,2534.000000000000000,2280600.000000000000000
58,7,5,324.000000000000000,291600.000000000000000
59,7,6,632.000000000000000,568800.000000000000000
60,7,8,107.000000000000000,96300.000000000000000
61,7,14,4.000000000000000,3600.000000000000000
62,7,15,753.000000000000000,677700.000000000000000
63,7,16,23.000000000000000,20700.000000000000000
64,7,17,686.000000000000000,617400.000000000000000
65,7,18,26905.000000000000000,24214500.000000000000000
66,8,1,920.000000000000000,828000.000000000000000
67,8,5,2718.000000000000000,2446200.000000000000000
68,8,6,2355.000000000000000,2119500.000000000000000
69,8,8,193.000000000000000,173700.000000000000000
70,8,10,237.000000000000000,213300.000000000000000
71,8,15,21728.000000000000000,19555200.000000000000000
72,8,16,168.000000000000000,151200.000000000000000
73,8,17,1087.000000000000000,978300.000000000000000
74,8,18,28.000000000000000,25200.000000000000000
75,9,18,29436.000000000000000,26492400.000000000000000
76,10,1,4520.000000000000000,4068000.000000000000000
77,10,5,12538.000000000000000,11284200.000000000000000
78,10,6,8187.000000000000000,7368300.000000000000000
79,10,8,137.000000000000000,123300.000000000000000
80,10,10,26.000000000000000,23400.000000000000000
81,10,14,86.000000000000000,77400.000000000000000
82,10,16,12.000000000000000,10800.000000000000000
83,10,18,3937.000000000000000,3543300.000000000000000
