OID_,OBJECTID_1,Value,Count,Area
1,1,6,4.000000000000000,3600.000000000000000
2,2,15,4.000000000000000,3600.000000000000000
3,3,5,4.000000000000000,3600.000000000000000
4,4,5,3.000000000000000,2700.000000000000000
5,4,6,3.000000000000000,2700.000000000000000
6,5,6,4.000000000000000,3600.000000000000000
7,6,5,2.000000000000000,1800.000000000000000
8,6,17,3.000000000000000,2700.000000000000000
9,7,5,2.000000000000000,1800.000000000000000
10,7,6,3.000000000000000,2700.000000000000000
11,8,18,5.000000000000000,4500.000000000000000
12,9,15,1.000000000000000,900.000000000000000
13,9,17,4.000000000000000,3600.000000000000000
14,10,1,3.000000000000000,2700.000000000000000
15,10,16,1.000000000000000,900.000000000000000
16,11,5,1.000000000000000,900.000000000000000
17,11,6,4.000000000000000,3600.000000000000000
18,12,15,6.000000000000000,5400.000000000000000
19,13,1,3.000000000000000,2700.000000000000000
20,13,6,1.000000000000000,900.000000000000000
21,14,18,4.000000000000000,3600.000000000000000
22,15,5,6.000000000000000,5400.000000000000000
23,16,15,3.000000000000000,2700.000000000000000
24,16,17,1.000000000000000,900.000000000000000
25,17,18,5.000000000000000,4500.000000000000000
26,18,5,5.000000000000000,4500.000000000000000
27,19,5,1.000000000000000,900.000000000000000
28,19,6,4.000000000000000,3600.000000000000000
29,20,6,6.000000000000000,5400.000000000000000
30,21,18,4.000000000000000,3600.000000000000000
31,22,5,1.000000000000000,900.000000000000000
32,22,6,4.000000000000000,3600.000000000000000
33,23,6,1.000000000000000,900.000000000000000
34,23,17,3.000000000000000,2700.000000000000000
35,24,15,5.000000000000000,4500.000000000000000
36,25,5,1.000000000000000,900.000000000000000
37,25,6,3.000000000000000,2700.000000000000000
38,25,17,1.000000000000000,900.000000000000000
39,26,18,4.000000000000000,3600.000000000000000
40,27,6,4.000000000000000,3600.000000000000000
41,28,5,5.000000000000000,4500.000000000000000
42,28,6,1.000000000000000,900.000000000000000
43,29,15,5.000000000000000,4500.000000000000000
44,30,6,5.000000000000000,4500.000000000000000
45,31,5,5.000000000000000,4500.000000000000000
46,32,1,4.000000000000000,3600.000000000000000
47,32,5,1.000000000000000,900.000000000000000
48,33,18,6.000000000000000,5400.000000000000000
49,34,5,2.000000000000000,1800.000000000000000
50,34,6,4.000000000000000,3600.000000000000000
51,35,5,4.000000000000000,3600.000000000000000
52,36,5,1.000000000000000,900.000000000000000
53,36,15,3.000000000000000,2700.000000000000000
54,37,5,4.000000000000000,3600.000000000000000
55,38,15,5.000000000000000,4500.000000000000000
56,39,14,1.000000000000000,900.000000000000000
57,39,18,4.000000000000000,3600.000000000000000
58,40,15,5.000000000000000,4500.000000000000000
59,41,18,4.000000000000000,3600.000000000000000
60,42,1,3.000000000000000,2700.000000000000000
61,42,6,1.000000000000000,900.000000000000000
62,43,15,5.000000000000000,4500.000000000000000
63,44,15,4.000000000000000,3600.000000000000000
64,45,15,5.000000000000000,4500.000000000000000
65,46,14,5.000000000000000,4500.000000000000000
66,47,17,4.000000000000000,3600.000000000000000
67,48,5,3.000000000000000,2700.000000000000000
68,48,15,1.000000000000000,900.000000000000000
69,48,16,1.000000000000000,900.000000000000000
70,49,14,5.000000000000000,4500.000000000000000
71,50,1,1.000000000000000,900.000000000000000
72,50,14,4.000000000000000,3600.000000000000000
73,51,18,4.000000000000000,3600.000000000000000
74,52,6,6.000000000000000,5400.000000000000000
75,53,5,1.000000000000000,900.000000000000000
76,53,6,1.000000000000000,900.000000000000000
77,53,14,3.000000000000000,2700.000000000000000
78,54,15,4.000000000000000,3600.000000000000000
79,55,15,6.000000000000000,5400.000000000000000
80,56,5,5.000000000000000,4500.000000000000000
81,57,6,4.000000000000000,3600.000000000000000
82,58,5,2.000000000000000,1800.000000000000000
83,58,6,4.000000000000000,3600.000000000000000
84,59,18,6.000000000000000,5400.000000000000000
85,60,18,4.000000000000000,3600.000000000000000
86,61,6,5.000000000000000,4500.000000000000000
87,62,6,5.000000000000000,4500.000000000000000
88,63,6,1.000000000000000,900.000000000000000
89,63,15,4.000000000000000,3600.000000000000000
90,64,18,5.000000000000000,4500.000000000000000
91,65,15,4.000000000000000,3600.000000000000000
92,66,5,4.000000000000000,3600.000000000000000
93,67,6,3.000000000000000,2700.000000000000000
94,67,17,3.000000000000000,2700.000000000000000
95,68,6,4.000000000000000,3600.000000000000000
96,69,5,5.000000000000000,4500.000000000000000
97,70,1,1.000000000000000,900.000000000000000
98,70,6,4.000000000000000,3600.000000000000000
99,71,15,5.000000000000000,4500.000000000000000
100,72,15,4.000000000000000,3600.000000000000000
101,73,1,1.000000000000000,900.000000000000000
102,73,5,1.000000000000000,900.000000000000000
103,73,6,4.000000000000000,3600.000000000000000
104,74,18,6.000000000000000,5400.000000000000000
105,75,6,4.000000000000000,3600.000000000000000
106,76,15,2.000000000000000,1800.000000000000000
107,76,17,2.000000000000000,1800.000000000000000
108,77,17,4.000000000000000,3600.000000000000000
109,78,18,4.000000000000000,3600.000000000000000
110,79,5,1.000000000000000,900.000000000000000
111,79,6,4.000000000000000,3600.000000000000000
112,80,5,5.000000000000000,4500.000000000000000
113,81,15,2.000000000000000,1800.000000000000000
114,81,17,3.000000000000000,2700.000000000000000
115,82,15,5.000000000000000,4500.000000000000000
116,83,5,4.000000000000000,3600.000000000000000
117,83,6,1.000000000000000,900.000000000000000
118,84,1,4.000000000000000,3600.000000000000000
119,85,15,5.000000000000000,4500.000000000000000
120,86,18,5.000000000000000,4500.000000000000000
121,87,6,4.000000000000000,3600.000000000000000
122,88,6,6.000000000000000,5400.000000000000000
123,89,5,1.000000000000000,900.000000000000000
124,89,14,2.000000000000000,1800.000000000000000
125,89,15,2.000000000000000,1800.000000000000000
126,90,1,4.000000000000000,3600.000000000000000
127,91,6,4.000000000000000,3600.000000000000000
128,92,18,5.000000000000000,4500.000000000000000
129,93,15,4.000000000000000,3600.000000000000000
130,94,5,4.000000000000000,3600.000000000000000
131,95,15,5.000000000000000,4500.000000000000000
132,96,14,4.000000000000000,3600.000000000000000
133,96,15,2.000000000000000,1800.000000000000000
134,97,5,5.000000000000000,4500.000000000000000
